Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NW_019217798.1	880548	903604		plus	LOW QUALITY PROTEIN: uncharacterized protein LOC111342890	LOC111342890	111342890	protein-coding	XM_022950020.1	Spis_XP_022805755_1	1410	
NW_019217798.1	903533	907294		plus	lactadherin-like	LOC111342292	111342292	protein-coding	XM_022949360.1	Spis_XP_022805095_1	256	
NW_019217798.1	907213	923849		plus	lactadherin-like isoform X1	LOC111342872	111342872	protein-coding	XM_022950005.1	Spis_XP_022805740_1	645	
NW_019217798.1	929317	931796		plus	uncharacterized LOC111342902	LOC111342902	111342902	lncRNA	XR_002695994.1			
NW_019217798.1	960907	970412		plus	coagulation factor V-like	LOC111342304	111342304	protein-coding	XM_022949371.1	Spis_XP_022805106_1	379	
NW_019217798.1	971482	979001		plus	lactadherin-like	LOC111342313	111342313	protein-coding	XM_022949381.1	Spis_XP_022805116_1	504	
NW_019217798.1	996679	1020298		plus	uncharacterized protein LOC111342321	LOC111342321	111342321	protein-coding	XM_022949392.1	Spis_XP_022805127_1	1610	
NW_019217798.1	1022143	1029143		plus	lactadherin-like isoform X1	LOC111342936	111342936	protein-coding	XM_022950064.1	Spis_XP_022805799_1	405	
NW_019217798.1	1031586	1032908		plus	D(4) dopamine receptor-like	LOC111342330	111342330	protein-coding	XM_022949406.1	Spis_XP_022805141_1	326	
NW_019217798.1	1048762	1051107		plus	adenosine receptor A2a-like	LOC111342129	111342129	protein-coding	XM_022949181.1	Spis_XP_022804916_1	322	
NW_019217798.1	1051948	1058611		plus	ubiquitin-conjugating enzyme E2 variant 2-like	LOC111342650	111342650	protein-coding	XM_022949746.1	Spis_XP_022805481_1	143	
NW_019217798.1	1061650	1108146		plus	dynein heavy chain 5, axonemal-like	LOC111343063	111343063	protein-coding	XM_022950206.1	Spis_XP_022805941_1	4390	
NW_019217798.1	1110469	1128470		minus	uncharacterized protein LOC111342337	LOC111342337	111342337	protein-coding	XM_022949415.1	Spis_XP_022805150_1	374	
NW_019217798.1	1118193	1120074		plus	uncharacterized protein LOC111343118	LOC111343118	111343118	protein-coding	XM_022950261.1	Spis_XP_022805996_1	263	
NW_019217798.1	1141273	1147687		plus	lactadherin-like	LOC111342168	111342168	protein-coding	XM_022949222.1	Spis_XP_022804957_1	379	
NW_019217798.1	1150133	1180356		minus	uncharacterized protein LOC111342140 isoform X1	LOC111342140	111342140	protein-coding	XM_022949190.1	Spis_XP_022804925_1	826	
NW_019217798.1	1182817	1183365		plus	kelch-like protein 12	LOC111342346	111342346	protein-coding	XM_022949424.1	Spis_XP_022805159_1	182	
NW_019217798.1	1183537	1184547		plus	kelch-like ECH-associated protein 1	LOC111342357	111342357	protein-coding	XM_022949434.1	Spis_XP_022805169_1	336	
NW_019217798.1	1185859	1192676		minus	uncharacterized gene	LOC111342964	111342964	pseudogene				
NW_019217798.1	1198582	1210268		plus	uncharacterized protein LOC111342367	LOC111342367	111342367	protein-coding	XM_022949445.1	Spis_XP_022805180_1	692	
NW_019217798.1	1213117	1234162		minus	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16-like	LOC111342960	111342960	protein-coding	XM_022950083.1	Spis_XP_022805818_1	1224	
NW_019217798.1	1238884	1242348		plus	uncharacterized protein LOC111342376	LOC111342376	111342376	protein-coding	XM_022949452.1	Spis_XP_022805187_1	126	
NW_019217798.1	1246482	1281139		plus	uncharacterized protein LOC111342909	LOC111342909	111342909	protein-coding	XM_022950036.1	Spis_XP_022805771_1	738	
NW_019217798.1	1260536	1262049		minus	uncharacterized LOC111342929	LOC111342929	111342929	lncRNA	XR_002695999.1			
NW_019217798.1	1281193	1286924		minus	60S ribosomal protein L14-like	LOC111342919	111342919	protein-coding	XM_022950046.1	Spis_XP_022805781_1	136	
NW_019217798.1	1289589	1296456		plus	uncharacterized protein LOC111343126	LOC111343126	111343126	protein-coding	XM_022950273.1	Spis_XP_022806008_1	196	
NW_019217798.1	1302935	1311843		plus	dolichol-phosphate mannosyltransferase subunit 1-like	LOC111342498	111342498	protein-coding	XM_022949592.1	Spis_XP_022805327_1	241	
NW_019217798.1	1311324	1338493		minus	engulfment and cell motility protein 1-like	LOC111342385	111342385	protein-coding	XM_022949461.1	Spis_XP_022805196_1	645	
NW_019217798.1	1338765	1342894		plus	thiamine-triphosphatase-like isoform X1	LOC111342471	111342471	protein-coding	XM_022949561.1	Spis_XP_022805296_1	225	
NW_019217798.1	1341363	1368873		minus	uncharacterized protein LOC111342435	LOC111342435	111342435	protein-coding	XM_022949517.1	Spis_XP_022805252_1	869	
NW_019217798.1	1364482	1373732		plus	uncharacterized gene	LOC111342461	111342461	pseudogene				
NW_019217798.1	1380325	1385759		minus	uncharacterized protein LOC111342983	LOC111342983	111342983	protein-coding	XM_022950112.1	Spis_XP_022805847_1	285	
NW_019217798.1	1385855	1396379		plus	something about silencing protein 10-like	LOC111343046	111343046	protein-coding	XM_022950187.1	Spis_XP_022805922_1	532	
NW_019217798.1	1397595	1402550		plus	bifunctional arginine demethylase and lysyl-hydroxylase JMJD6-like	LOC111343083	111343083	protein-coding	XM_022950224.1	Spis_XP_022805959_1	332	
NW_019217798.1	1403681	1406411		minus	uncharacterized protein LOC111342630	LOC111342630	111342630	protein-coding	XM_022949729.1	Spis_XP_022805464_1	247	
NW_019217798.1	1411712	1413699		minus	uncharacterized protein LOC111342639	LOC111342639	111342639	protein-coding	XM_022949736.1	Spis_XP_022805471_1	119	
NW_019217798.1	1422245	1425895		minus	uncharacterized protein LOC111343094	LOC111343094	111343094	protein-coding	XM_022950234.1	Spis_XP_022805969_1	217	
NW_019217799.1	16913	20315		minus	contactin-associated protein-like 2	LOC111344009	111344009	protein-coding	XM_022951213.1	Spis_XP_022806948_1	417	
NW_019217799.1	23790	27663		minus	uncharacterized protein LOC111344210	LOC111344210	111344210	protein-coding	XM_022951424.1	Spis_XP_022807159_1	201	
NW_019217799.1	29427	30893		minus	UPF0739 protein C1orf74 homolog	LOC111344050	111344050	protein-coding	XM_022951258.1	Spis_XP_022806993_1	297	
NW_019217799.1	31413	37949		minus	GTPase HRas	LOC111343697	111343697	protein-coding	XM_022950882.1	Spis_XP_022806617_1	183	
NW_019217799.1	44464	45099		plus	uncharacterized gene	LOC111343605	111343605	pseudogene				
NW_019217799.1	50400	52379		plus	contactin-associated protein-like 2	LOC111343848	111343848	protein-coding	XM_022951042.1	Spis_XP_022806777_1	356	
NW_019217799.1	65149	86596		plus	DBH-like monooxygenase protein 1 homolog isoform X1	LOC111343806	111343806	protein-coding	XM_022950999.1	Spis_XP_022806734_1	624	
NW_019217799.1	87729	170546		minus	DBH-like monooxygenase protein 1	LOC111343839	111343839	protein-coding	XM_022951031.1	Spis_XP_022806766_1	440	
NW_019217799.1	107314	109586		plus	uncharacterized gene	LOC111343252	111343252	pseudogene				
NW_019217799.1	116957	124292		plus	uncharacterized gene	LOC111343263	111343263	pseudogene				
NW_019217799.1	126199	127875		plus	contactin-associated protein-like 2	LOC111343859	111343859	protein-coding	XM_022951055.1	Spis_XP_022806790_1	340	
NW_019217799.1	142543	143403		plus	uncharacterized protein LOC111343274	LOC111343274	111343274	protein-coding	XM_022950430.1	Spis_XP_022806165_1	286	
NW_019217799.1	144693	146685		plus	contactin-associated protein-like 2	LOC111343869	111343869	protein-coding	XM_022951066.1	Spis_XP_022806801_1	233	
NW_019217799.1	146700	147880		plus	contactin-associated protein-like 2	LOC111343879	111343879	protein-coding	XM_022951076.1	Spis_XP_022806811_1	166	
NW_019217799.1	162388	168473		plus	uncharacterized protein LOC111343295	LOC111343295	111343295	protein-coding	XM_022950449.1	Spis_XP_022806184_1	1491	
NW_019217799.1	174580	175038		plus	uncharacterized protein K02A2.6-like	LOC111343305	111343305	protein-coding	XM_022950456.1	Spis_XP_022806191_1	152	
NW_019217799.1	179045	179617		plus	contactin-associated protein-like 2	LOC111343314	111343314	protein-coding	XM_022950464.1	Spis_XP_022806199_1	166	
NW_019217799.1	182324	195691		minus	rho GTPase-activating protein 39-like isoform X1	LOC111343784	111343784	protein-coding	XM_022950978.1	Spis_XP_022806713_1	862	
NW_019217799.1	196002	199423		plus	microtubule-associated proteins 1A/1B light chain 3A-like	LOC111344173	111344173	protein-coding	XM_022951386.1	Spis_XP_022807121_1	123	
NW_019217799.1	207888	213085		minus	arrestin domain-containing protein 3-like	LOC111343957	111343957	protein-coding	XM_022951162.1	Spis_XP_022806897_1	268	
NW_019217799.1	217305	233639		minus	LOW QUALITY PROTEIN: O-acyltransferase like protein-like	LOC111343323	111343323	protein-coding	XM_022950475.1	Spis_XP_022806210_1	659	
NW_019217799.1	233995	235551		plus	uncharacterized protein LOC111343331	LOC111343331	111343331	protein-coding	XM_022950488.1	Spis_XP_022806223_1	178	
NW_019217799.1	243319	253872		plus	nose resistant to fluoxetine protein 6-like	LOC111343948	111343948	protein-coding	XM_022951153.1	Spis_XP_022806888_1	726	
NW_019217799.1	255927	268594		minus	uncharacterized protein LOC111343338	LOC111343338	111343338	protein-coding	XM_022950501.1	Spis_XP_022806236_1	804	
NW_019217799.1	269293	286345		plus	uncharacterized protein LOC111344017 isoform X1	LOC111344017	111344017	protein-coding	XM_022951225.1	Spis_XP_022806960_1	451	
NW_019217799.1	279851	281339		minus	uncharacterized protein LOC111344031	LOC111344031	111344031	protein-coding	XM_022951238.1	Spis_XP_022806973_1	79	
NW_019217799.1	287393	296945		plus	uncharacterized protein LOC111344132	LOC111344132	111344132	protein-coding	XM_022951344.1	Spis_XP_022807079_1	423	
NW_019217799.1	297177	305702		minus	LOW QUALITY PROTEIN: DNA repair protein XRCC4-like	LOC111344148	111344148	protein-coding	XM_022951363.1	Spis_XP_022807098_1	347	
NW_019217799.1	305988	315717		plus	arrestin domain-containing protein 4-like	LOC111344123	111344123	protein-coding	XM_022951333.1	Spis_XP_022807068_1	377	
NW_019217799.1	317015	320852		minus	uncharacterized protein LOC111344302	LOC111344302	111344302	protein-coding	XM_022951532.1	Spis_XP_022807267_1	382	
NW_019217799.1	329252	331734		minus	NACHT, LRR and PYD domains-containing protein 12-like	LOC111344314	111344314	protein-coding	XM_022951541.1	Spis_XP_022807276_1	723	
NW_019217799.1	332308	349151		minus	NACHT, LRR and PYD domains-containing protein 12-like	LOC111343346	111343346	protein-coding	XM_022950514.1	Spis_XP_022806249_1	939	
NW_019217799.1	362376	363550		minus	NACHT, LRR and PYD domains-containing protein 3-like	LOC111344070	111344070	protein-coding	XM_022951277.1	Spis_XP_022807012_1	390	
NW_019217799.1	406454	407785		minus	protein ALP1-like	LOC111343365	111343365	protein-coding	XM_022950533.1	Spis_XP_022806268_1	443	
NW_019217799.1	410407	411327		plus	uncharacterized protein K02A2.6-like	LOC111343374	111343374	protein-coding	XM_022950545.1	Spis_XP_022806280_1	269	
NW_019217799.1	411923	422809		plus	uncharacterized gene	LOC111343384	111343384	pseudogene				
NW_019217799.1	412314	417062		plus	uncharacterized protein LOC111343616 isoform X1	LOC111343616	111343616	protein-coding	XM_022950797.1	Spis_XP_022806532_1	185	
NW_019217799.1	426794	427603		plus	uncharacterized protein LOC111343394	LOC111343394	111343394	protein-coding	XM_022950566.1	Spis_XP_022806301_1	269	
NW_019217799.1	454117	455125		minus	uncharacterized gene	LOC111343595	111343595	pseudogene				
NW_019217799.1	464429	467919		minus	uncharacterized protein LOC111344297	LOC111344297	111344297	protein-coding	XM_022951519.1	Spis_XP_022807254_1	805	
NW_019217799.1	510862	512349		minus	uncharacterized protein LOC111343404	LOC111343404	111343404	protein-coding	XM_022950575.1	Spis_XP_022806310_1	495	
NW_019217799.1	527210	527974		plus	piggyBac transposable element-derived protein 4-like	LOC111343415	111343415	protein-coding	XM_022950586.1	Spis_XP_022806321_1	254	
NW_019217799.1	528043	529017		plus	piggyBac transposable element-derived protein 4-like	LOC111343422	111343422	protein-coding	XM_022950598.1	Spis_XP_022806333_1	324	
NW_019217799.1	544367	546373		plus	uncharacterized protein LOC111343431	LOC111343431	111343431	protein-coding	XM_022950610.1	Spis_XP_022806345_1	614	
NW_019217799.1	546417	548823		minus	uncharacterized protein LOC111344272	LOC111344272	111344272	protein-coding	XM_022951487.1	Spis_XP_022807222_1	519	
NW_019217799.1	557511	558779		plus	piggyBac transposable element-derived protein 4-like	LOC111343441	111343441	protein-coding	XM_022950622.1	Spis_XP_022806357_1	422	
NW_019217799.1	559102	560184		plus	piggyBac transposable element-derived protein 4-like	LOC111343447	111343447	protein-coding	XM_022950634.1	Spis_XP_022806369_1	360	
NW_019217799.1	561068	562646		minus	uncharacterized protein LOC111344107	LOC111344107	111344107	protein-coding	XM_022951312.1	Spis_XP_022807047_1	135	
NW_019217799.1	561820	563544		plus	uncharacterized protein LOC111343454	LOC111343454	111343454	protein-coding	XM_022950646.1	Spis_XP_022806381_1	574	
NW_019217799.1	569856	580642		plus	threonine aspartase 1-like isoform X1	LOC111344230	111344230	protein-coding	XM_022951440.1	Spis_XP_022807175_1	379	
NW_019217799.1	594925	599667		minus	uncharacterized protein LOC111344099	LOC111344099	111344099	protein-coding	XM_022951299.1	Spis_XP_022807034_1	364	
NW_019217799.1	605955	638251		plus	uncharacterized protein LOC111343976 isoform X1	LOC111343976	111343976	protein-coding	XM_022951183.1	Spis_XP_022806918_1	1230	
NW_019217799.1	639638	653840		minus	zinc finger protein 277-like	LOC111343243	111343243	protein-coding	XM_022950408.1	Spis_XP_022806143_1	418	
NW_019217799.1	645130	677831		plus	E3 ubiquitin-protein ligase UHRF1-like isoform X1	LOC111343202	111343202	protein-coding	XM_022950361.1	Spis_XP_022806096_1	794	
NW_019217799.1	680597	685371		minus	putative RNA-binding protein 15	LOC111343651	111343651	protein-coding	XM_022950837.1	Spis_XP_022806572_1	859	
NW_019217799.1	692416	693480		minus	uncharacterized protein LOC111344060	LOC111344060	111344060	protein-coding	XM_022951268.1	Spis_XP_022807003_1	217	
NW_019217799.1	706530	716374		plus	interferon-related developmental regulator 1-like	LOC111343464	111343464	protein-coding	XM_022950657.1	Spis_XP_022806392_1	384	
NW_019217799.1	717532	807284		plus	LOW QUALITY PROTEIN: dynein heavy chain 3, axonemal-like	LOC111343922	111343922	protein-coding	XM_022951124.1	Spis_XP_022806859_1	4195	
NW_019217799.1	811194	828694		plus	LOW QUALITY PROTEIN: inosine-5-monophosphate dehydrogenase 1b-like	LOC111343707	111343707	protein-coding	XM_022950893.1	Spis_XP_022806628_1	513	
NW_019217799.1	830053	845639		minus	guanine nucleotide-binding protein G(i) subunit alpha	LOC111343192	111343192	protein-coding	XM_022950351.1	Spis_XP_022806086_1	354	
NW_019217799.1	849464	862954		minus	telomerase reverse transcriptase-like	LOC111343476	111343476	protein-coding	XM_022950668.1	Spis_XP_022806403_1	1358	
NW_019217799.1	863105	878948		plus	beta-mannosidase-like isoform X1	LOC111343887	111343887	protein-coding	XM_022951088.1	Spis_XP_022806823_1	893	
NW_019217799.1	879469	881733		minus	transmembrane protease serine 9-like	LOC111343485	111343485	protein-coding	XM_022950676.1	Spis_XP_022806411_1	283	
NW_019217799.1	898153	901175		minus	uncharacterized LOC111344159	LOC111344159	111344159	lncRNA	XR_002696130.1			
NW_019217799.1	905345	935318		plus	NAD(P) transhydrogenase, mitochondrial-like	LOC111343629	111343629	protein-coding	XM_022950817.1	Spis_XP_022806552_1	1088	
NW_019217799.1	936422	948002		minus	zinc metalloproteinase nas-4-like	LOC111343640	111343640	protein-coding	XM_022950826.1	Spis_XP_022806561_1	423	
NW_019217799.1	951126	962066		plus	E3 ubiquitin-protein ligase MARCH8-like	LOC111343743	111343743	protein-coding	XM_022950930.1	Spis_XP_022806665_1	238	
NW_019217799.1	962457	963898		minus	uncharacterized gene	LOC111343585	111343585	pseudogene				
NW_019217799.1	973055	974215		minus	uncharacterized LOC111344165	LOC111344165	111344165	lncRNA	XR_002696131.1			
NW_019217799.1	1003968	1010066		plus	LIM domain only protein 3-like isoform X1	LOC111343672	111343672	protein-coding	XM_022950855.1	Spis_XP_022806590_1	160	
NW_019217799.1	1012598	1020712		minus	LIM domain only protein 3-like	LOC111343687	111343687	protein-coding	XM_022950872.1	Spis_XP_022806607_1	155	
NW_019217799.1	1041332	1046494		plus	calcium signal-modulating cyclophilin ligand-like	LOC111343911	111343911	protein-coding	XM_022951115.1	Spis_XP_022806850_1	295	
NW_019217799.1	1051662	1053483		minus	5-hydroxytryptamine receptor 1-like	LOC111343733	111343733	protein-coding	XM_022950917.1	Spis_XP_022806652_1	367	
NW_019217799.1	1053682	1076284		minus	uncharacterized protein LOC111343718	LOC111343718	111343718	protein-coding	XM_022950904.1	Spis_XP_022806639_1	1412	
NW_019217799.1	1083306	1096079		minus	paired box protein Pax-6-like isoform X1	LOC111343163	111343163	protein-coding	XM_022950319.1	Spis_XP_022806054_1	561	
NW_019217799.1	1096188	1101784		plus	uncharacterized LOC111343178, transcript variant X3	LOC111343178	111343178	lncRNA	XR_002696033.1			
NW_019217799.1	1105458	1114846		plus	zinc metalloproteinase nas-15-like	LOC111344199	111344199	protein-coding	XM_022951414.1	Spis_XP_022807149_1	413	
NW_019217799.1	1116739	1127138		minus	round spermatid basic protein 1-like	LOC111344081	111344081	protein-coding	XM_022951288.1	Spis_XP_022807023_1	474	
NW_019217799.1	1127734	1179614		plus	dedicator of cytokinesis protein 1-like	LOC111343514	111343514	protein-coding	XM_022950707.1	Spis_XP_022806442_1	2191	
NW_019217799.1	1137409	1138245		plus	uncharacterized LOC111343753	LOC111343753	111343753	lncRNA	XR_002696101.1			
NW_019217799.1	1181172	1201326		minus	probable phospholipid-transporting ATPase VA	LOC111343524	111343524	protein-coding	XM_022950718.1	Spis_XP_022806453_1	1362	
NW_019217799.1	1202078	1204600		minus	probable iron/ascorbate oxidoreductase DDB_G0283291	LOC111344219	111344219	protein-coding	XM_022951433.1	Spis_XP_022807168_1	325	
NW_019217799.1	1205624	1237259		plus	multidrug resistance-associated protein 4-like	LOC111343661	111343661	protein-coding	XM_022950846.1	Spis_XP_022806581_1	1350	
NW_019217799.1	1238732	1251490		plus	uncharacterized LOC111344288, transcript variant X2	LOC111344288	111344288	lncRNA	XR_002696141.1			
NW_019217799.1	1253956	1255498		minus	uncharacterized gene	LOC111344279	111344279	pseudogene				
NW_019217799.1	1261360	1266557		minus	uncharacterized protein LOC111343532	LOC111343532	111343532	protein-coding	XM_022950727.1	Spis_XP_022806462_1	729	
NW_019217799.1	1270894	1271922		plus	uncharacterized protein LOC111343545	LOC111343545	111343545	protein-coding	XM_022950734.1	Spis_XP_022806469_1	179	
NW_019217799.1	1274064	1277096		minus	piggyBac transposable element-derived protein 4-like	LOC111343999	111343999	protein-coding	XM_022951203.1	Spis_XP_022806938_1	646	
NW_019217799.1	1320426	1320950		plus	uncharacterized protein LOC111343555	LOC111343555	111343555	protein-coding	XM_022950742.1	Spis_XP_022806477_1	174	
NW_019217799.1	1321932	1324203		plus	uncharacterized protein LOC111343565	LOC111343565	111343565	protein-coding	XM_022950751.1	Spis_XP_022806486_1	358	
NW_019217799.1	1330490	1331361		minus	uncharacterized LOC111344185	LOC111344185	111344185	lncRNA	XR_002696133.1			
NW_019217799.1	1334301	1345759		minus	battenin-like	LOC111344190	111344190	protein-coding	XM_022951404.1	Spis_XP_022807139_1	444	
NW_019217799.1	1347352	1364162		plus	uncharacterized protein LOC111344114	LOC111344114	111344114	protein-coding	XM_022951324.1	Spis_XP_022807059_1	1179	
NW_019217799.1	1364655	1375718		plus	uncharacterized protein LOC111343760 isoform X1	LOC111343760	111343760	protein-coding	XM_022950946.1	Spis_XP_022806681_1	997	
NW_019217799.1	1376559	1383034		minus	serine protease inhibitor dipetalogastin-like	LOC111344040	111344040	protein-coding	XM_022951249.1	Spis_XP_022806984_1	348	
NW_019217799.1	1403362	1410159		minus	NAD(P)H-hydrate epimerase-like	LOC111343938	111343938	protein-coding	XM_022951142.1	Spis_XP_022806877_1	227	
NW_019217799.1	1411021	1414250		plus	LOW QUALITY PROTEIN: uncharacterized protein LOC111343929	LOC111343929	111343929	protein-coding	XM_022951133.1	Spis_XP_022806868_1	280	
NW_019217799.1	1421983	1424746		minus	uncharacterized gene	LOC111343577	111343577	pseudogene				
NW_019217800.1	8174	30181		minus	active breakpoint cluster region-related protein-like	LOC111344672	111344672	protein-coding	XM_022951921.1	Spis_XP_022807656_1	1300	
NW_019217800.1	33477	51201		minus	serine/threonine-protein kinase TAO3-like isoform X1	LOC111344523	111344523	protein-coding	XM_022951761.1	Spis_XP_022807496_1	953	
NW_019217800.1	53559	56670		minus	coiled-coil domain-containing protein 86-like	LOC111345597	111345597	protein-coding	XM_022952882.1	Spis_XP_022808617_1	122	
NW_019217800.1	56682	58064		plus	bis(5-adenosyl)-triphosphatase-like	LOC111345587	111345587	protein-coding	XM_022952874.1	Spis_XP_022808609_1	167	
NW_019217800.1	69744	75616		minus	uncharacterized protein DDB_G0292642-like	LOC111344498	111344498	protein-coding	XM_022951731.1	Spis_XP_022807466_1	341	
NW_019217800.1	76011	79843		plus	ubiquitin-conjugating enzyme E2 2-like	LOC111344513	111344513	protein-coding	XM_022951752.1	Spis_XP_022807487_1	153	
NW_019217800.1	90421	94272		minus	probable E3 ubiquitin-protein ligase ARI3	LOC111344486	111344486	protein-coding	XM_022951724.1	Spis_XP_022807459_1	341	
NW_019217800.1	95041	99179		plus	ubiquitin-conjugating enzyme E2 28-like	LOC111345607	111345607	protein-coding	XM_022952892.1	Spis_XP_022808627_1	160	
NW_019217800.1	110878	119786		minus	inositol polyphosphate 5-phosphatase K-like isoform X1	LOC111344591	111344591	protein-coding	XM_022951836.1	Spis_XP_022807571_1	437	
NW_019217800.1	121184	122164		minus	uncharacterized protein LOC111345359	LOC111345359	111345359	protein-coding	XM_022952650.1	Spis_XP_022808385_1	326	
NW_019217800.1	126667	129187		plus	uncharacterized LOC111344623, transcript variant X2	LOC111344623	111344623	lncRNA	XR_002696176.1			
NW_019217800.1	126745	132357		minus	uncharacterized protein LOC111344608	LOC111344608	111344608	protein-coding	XM_022951854.1	Spis_XP_022807589_1	328	
NW_019217800.1	137621	145998		minus	beta-glucuronidase-like	LOC111345370	111345370	protein-coding	XM_022952656.1	Spis_XP_022808391_1	691	
NW_019217800.1	150938	171112		plus	beta-adrenergic receptor kinase 2-like	LOC111345132	111345132	protein-coding	XM_022952411.1	Spis_XP_022808146_1	682	
NW_019217800.1	174706	179036		minus	homeobox protein Hox-C6-like	LOC111345228	111345228	protein-coding	XM_022952511.1	Spis_XP_022808246_1	220	
NW_019217800.1	181506	185513		minus	homeobox protein ceh-30-like	LOC111345082	111345082	protein-coding	XM_022952343.1	Spis_XP_022808078_1	212	
NW_019217800.1	189899	193447		minus	uncharacterized protein LOC111345719	LOC111345719	111345719	protein-coding	XM_022953001.1	Spis_XP_022808736_1	104	
NW_019217800.1	200757	212260		plus	uncharacterized protein LOC111345190 isoform X1	LOC111345190	111345190	protein-coding	XM_022952463.1	Spis_XP_022808198_1	1037	
NW_019217800.1	221771	235458		plus	phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform-like isoform X1	LOC111344824	111344824	protein-coding	XM_022952087.1	Spis_XP_022807822_1	456	
NW_019217800.1	236020	241505		plus	AFG1-like ATPase	LOC111344813	111344813	protein-coding	XM_022952076.1	Spis_XP_022807811_1	580	
NW_019217800.1	245112	255472		minus	T-box transcription factor TBX10-like isoform X1	LOC111345422	111345422	protein-coding	XM_022952701.1	Spis_XP_022808436_1	449	
NW_019217800.1	262865	274064		plus	T-box transcription factor TBX10-like isoform X1	LOC111344472	111344472	protein-coding	XM_022951705.1	Spis_XP_022807440_1	450	
NW_019217800.1	274987	279111		minus	uncharacterized protein LOC111344453	LOC111344453	111344453	protein-coding	XM_022951684.1	Spis_XP_022807419_1	578	
NW_019217800.1	279145	289443		plus	cell cycle checkpoint control protein RAD9B-like	LOC111344462	111344462	protein-coding	XM_022951695.1	Spis_XP_022807430_1	548	
NW_019217800.1	289831	290357		minus	uncharacterized gene	LOC111345380	111345380	pseudogene				
NW_019217800.1	292823	308588		minus	uncharacterized protein LOC111345151	LOC111345151	111345151	protein-coding	XM_022952433.1	Spis_XP_022808168_1	134	
NW_019217800.1	312003	344231		minus	MORC family CW-type zinc finger protein 2A-like	LOC111344538	111344538	protein-coding	XM_022951781.1	Spis_XP_022807516_1	1053	
NW_019217800.1	339592	344799		plus	uncharacterized LOC111344556	LOC111344556	111344556	lncRNA	XR_002696172.1			
NW_019217800.1	347679	358240		minus	max dimerization protein 3-like	LOC111344548	111344548	protein-coding	XM_022951793.1	Spis_XP_022807528_1	303	
NW_019217800.1	364256	371327		plus	transmembrane protein 248-like	LOC111344995	111344995	protein-coding	XM_022952254.1	Spis_XP_022807989_1	282	
NW_019217800.1	371428	374080		minus	uncharacterized protein LOC111344984	LOC111344984	111344984	protein-coding	XM_022952245.1	Spis_XP_022807980_1	284	
NW_019217800.1	374157	412131		plus	vacuolar protein sorting-associated protein 33A-like	LOC111344972	111344972	protein-coding	XM_022952237.1	Spis_XP_022807972_1	537	
NW_019217800.1	396754	401599		minus	uncharacterized gene	LOC111344951	111344951	pseudogene				
NW_019217800.1	403234	406922		minus	LOW QUALITY PROTEIN: uncharacterized protein LOC111344961	LOC111344961	111344961	protein-coding	XM_022952228.1	Spis_XP_022807963_1	677	
NW_019217800.1	422573	424820		minus	protein HGH1 homolog	LOC111345250	111345250	protein-coding	XM_022952532.1	Spis_XP_022808267_1	360	
NW_019217800.1	424908	435228		plus	uncharacterized protein YMR196W-like	LOC111344350	111344350	protein-coding	XM_022951578.1	Spis_XP_022807313_1	906	
NW_019217800.1	435690	471483		minus	calcineurin-binding protein cabin-1-like	LOC111344365	111344365	protein-coding	XM_022951597.1	Spis_XP_022807332_1	2063	
NW_019217800.1	455974	456045		plus	tRNA-Gln	Trnaq-cug	111345776	tRNA				
NW_019217800.1	471576	476536		plus	cell cycle checkpoint protein RAD1-like	LOC111344889	111344889	protein-coding	XM_022952160.1	Spis_XP_022807895_1	285	
NW_019217800.1	476943	485099		minus	protein spinster homolog 1-like	LOC111344897	111344897	protein-coding	XM_022952170.1	Spis_XP_022807905_1	560	
NW_019217800.1	485451	504555		plus	probable serine/threonine-protein kinase kinX isoform X1	LOC111344908	111344908	protein-coding	XM_022952182.1	Spis_XP_022807917_1	1438	
NW_019217800.1	505732	520083		minus	ribosomal protein S6 kinase beta-1-like isoform X1	LOC111345005	111345005	protein-coding	XM_022952264.1	Spis_XP_022807999_1	500	
NW_019217800.1	522970	527742		minus	F-box only protein 22-like	LOC111344330	111344330	protein-coding	XM_022951559.1	Spis_XP_022807294_1	416	
NW_019217800.1	528569	537950		minus	protein rogdi homolog isoform X1	LOC111345338	111345338	protein-coding	XM_022952624.1	Spis_XP_022808359_1	289	
NW_019217800.1	538024	552626		plus	beta-1,3-glucosyltransferase-like	LOC111345203	111345203	protein-coding	XM_022952479.1	Spis_XP_022808214_1	493	
NW_019217800.1	544869	546174		minus	late histone H2B.L4-like	LOC111345209	111345209	protein-coding	XM_022952489.1	Spis_XP_022808224_1	124	
NW_019217800.1	558542	559892		minus	heme-binding protein 2-like	LOC111345142	111345142	protein-coding	XM_022952421.1	Spis_XP_022808156_1	220	
NW_019217800.1	569245	575786		plus	uncharacterized protein LOC111344633	LOC111344633	111344633	protein-coding	XM_022951878.1	Spis_XP_022807613_1	639	
NW_019217800.1	576808	581779		minus	uncharacterized LOC111344642, transcript variant X3	LOC111344642	111344642	lncRNA	XR_002696178.1			
NW_019217800.1	581861	591314		plus	lissencephaly-1 homolog	LOC111345282	111345282	protein-coding	XM_022952559.1	Spis_XP_022808294_1	409	
