Hvul_v3_ATP6	MT_ATP6
Hvul_v3_XM_012704182.2	
Hvul_v3_XM_012704191.2	FBXO47
Hvul_v3_XM_012704192.2	CRISPLD1
Hvul_v3_XM_012704194.2	
Hvul_v3_XM_012704203.2	PHC3
Hvul_v3_XM_012704206.2	LIAS
Hvul_v3_XM_012704212.2	GIPC1
Hvul_v3_XM_012704213.1	
Hvul_v3_XM_012704225.2	SNAP47
Hvul_v3_XM_012704228.2	
Hvul_v3_XM_012704229.2	
Hvul_v3_XM_012704242.2	
Hvul_v3_XM_012704243.2	CTSS
Hvul_v3_XM_012704255.2	
Hvul_v3_XM_012704258.2	
Hvul_v3_XM_012704259.2	GRHPR
Hvul_v3_XM_012704266.2	NDUFS3
Hvul_v3_XM_012704276.1	
Hvul_v3_XM_012704282.1	
Hvul_v3_XM_012704284.2	YBX1
Hvul_v3_XM_012704290.2	MRPL58
Hvul_v3_XM_012704294.2	
Hvul_v3_XM_012704296.2	MTMR2
Hvul_v3_XM_012704302.2	ZMYM1
Hvul_v3_XM_012704309.2	CHCHD5
Hvul_v3_XM_012704312.2	MBTD1
Hvul_v3_XM_012704316.2	FPGT
Hvul_v3_XM_012704318.2	PUS1
Hvul_v3_XM_012704319.2	
Hvul_v3_XM_012704327.1	THAP1
Hvul_v3_XM_012704328.2	THAP1
Hvul_v3_XM_012704329.2	B4GALNT4
Hvul_v3_XM_012704332.2	USP37
Hvul_v3_XM_012704338.2	
Hvul_v3_XM_012704340.2	
Hvul_v3_XM_012704341.2	CDAN1
Hvul_v3_XM_012704342.2	MRPS18C
Hvul_v3_XM_012704349.2	RARS1
Hvul_v3_XM_012704350.2	
Hvul_v3_XM_012704354.2	
Hvul_v3_XM_012704358.2	THAP12
Hvul_v3_XM_012704363.2	
Hvul_v3_XM_012704366.2	FUT9
Hvul_v3_XM_012704369.2	
Hvul_v3_XM_012704376.2	SAMD8
Hvul_v3_XM_012704379.2	
Hvul_v3_XM_012704387.2	TIGD4
Hvul_v3_XM_012704388.2	HRH2
Hvul_v3_XM_012704391.2	
Hvul_v3_XM_012704396.2	VPS9D1
Hvul_v3_XM_012704402.2	KCNB1
Hvul_v3_XM_012704409.2	DNAJA1
Hvul_v3_XM_012704413.2	URGCP
Hvul_v3_XM_012704414.2	NAF1
Hvul_v3_XM_012704420.2	SFPQ
Hvul_v3_XM_012704422.1	
Hvul_v3_XM_012704426.2	ANO1
Hvul_v3_XM_012704427.2	
Hvul_v3_XM_012704428.1	FICD
Hvul_v3_XM_012704434.2	RAB24
Hvul_v3_XM_012704437.2	
Hvul_v3_XM_012704438.2	SLC49A4
Hvul_v3_XM_012704439.2	PISD
Hvul_v3_XM_012704444.2	
Hvul_v3_XM_012704454.2	TGFBI
Hvul_v3_XM_012704456.2	
Hvul_v3_XM_012704459.2	LRRC27
Hvul_v3_XM_012704464.2	
Hvul_v3_XM_012704466.2	SSR2
Hvul_v3_XM_012704468.2	
Hvul_v3_XM_012704471.2	MTBP
Hvul_v3_XM_012704472.2	CASR
Hvul_v3_XM_012704475.2	
Hvul_v3_XM_012704483.2	
Hvul_v3_XM_012704485.2	ZC3H6
Hvul_v3_XM_012704491.2	DBNL
Hvul_v3_XM_012704494.1	
Hvul_v3_XM_012704497.2	
Hvul_v3_XM_012704501.2	GRM8
Hvul_v3_XM_012704502.2	KIAA1586
Hvul_v3_XM_012704504.2	ADGRL2
Hvul_v3_XM_012704510.2	SLC30A10
Hvul_v3_XM_012704517.2	CASR
Hvul_v3_XM_012704518.2	ATG13
Hvul_v3_XM_012704522.2	TCTEX1D2
Hvul_v3_XM_012704525.2	CALML6
Hvul_v3_XM_012704532.2	
Hvul_v3_XM_012704535.2	KIAA1586
Hvul_v3_XM_012704552.2	MRPL32
Hvul_v3_XM_012704573.1	ZMYM1
Hvul_v3_XM_012704574.1	ZMYM1
Hvul_v3_XM_012704580.2	
Hvul_v3_XM_012704585.2	TEX2
Hvul_v3_XM_012704589.2	P3H2
Hvul_v3_XM_012704592.2	
Hvul_v3_XM_012704595.2	GABRB2
Hvul_v3_XM_012704600.2	
Hvul_v3_XM_012704605.1	JRKL
Hvul_v3_XM_012704606.2	
Hvul_v3_XM_012704607.2	ZMYM1
Hvul_v3_XM_012704610.2	CHRM2
Hvul_v3_XM_012704614.2	OLA1
Hvul_v3_XM_012704616.2	
Hvul_v3_XM_012704620.2	BET1L
Hvul_v3_XM_012704621.2	ZC3H3
Hvul_v3_XM_012704622.2	RSPH10B
Hvul_v3_XM_012704634.1	JRKL
Hvul_v3_XM_012704641.2	
Hvul_v3_XM_012704650.2	NOL8
Hvul_v3_XM_012704654.2	RPL13
Hvul_v3_XM_012704656.2	CFAP57
Hvul_v3_XM_012704665.2	
Hvul_v3_XM_012704667.2	GAA
Hvul_v3_XM_012704670.2	MFSD6
Hvul_v3_XM_012704677.2	MRPL22
Hvul_v3_XM_012704680.2	
Hvul_v3_XM_012704681.2	RAB11FIP3
Hvul_v3_XM_012704684.2	
Hvul_v3_XM_012704695.2	DDX51
Hvul_v3_XM_012704698.2	
Hvul_v3_XM_012704701.2	CCDC34
Hvul_v3_XM_012704705.2	CA7
Hvul_v3_XM_012704710.2	SORCS1
Hvul_v3_XM_012704711.2	LTBP2
Hvul_v3_XM_012704719.2	TPRKB
Hvul_v3_XM_012704723.2	CYP17A1
Hvul_v3_XM_012704734.2	OPN3
Hvul_v3_XM_012704746.2	GPR52
Hvul_v3_XM_012704748.2	
Hvul_v3_XM_012704749.2	
Hvul_v3_XM_012704751.1	
Hvul_v3_XM_012704752.2	
Hvul_v3_XM_012704754.2	
Hvul_v3_XM_012704755.2	
Hvul_v3_XM_012704758.2	
Hvul_v3_XM_012704759.2	ITPK1
Hvul_v3_XM_012704768.2	ASMTL
Hvul_v3_XM_012704772.2	NPY2R
Hvul_v3_XM_012704773.2	
Hvul_v3_XM_012704778.2	COMMD7
Hvul_v3_XM_012704779.2	
Hvul_v3_XM_012704788.2	
Hvul_v3_XM_012704791.2	NPFFR1
Hvul_v3_XM_012704792.2	KLKB1
Hvul_v3_XM_012704798.2	
Hvul_v3_XM_012704807.2	AASDH
Hvul_v3_XM_012704823.2	TRMT112
Hvul_v3_XM_012704830.2	EMP1
Hvul_v3_XM_012704841.2	MMP13
Hvul_v3_XM_012704842.2	HERC1
Hvul_v3_XM_012704850.2	TMBIM1
Hvul_v3_XM_012704854.2	
Hvul_v3_XM_012704856.1	
Hvul_v3_XM_012704865.2	
Hvul_v3_XM_012704870.2	
Hvul_v3_XM_012704883.2	THSD7A
Hvul_v3_XM_012704886.2	ZFYVE26
Hvul_v3_XM_012704895.1	
Hvul_v3_XM_012704896.2	PRSS12
Hvul_v3_XM_012704903.2	
Hvul_v3_XM_012704904.2	BUD13
Hvul_v3_XM_012704905.2	BNIP1
Hvul_v3_XM_012704916.2	MIIP
Hvul_v3_XM_012704918.2	ADGRG2
Hvul_v3_XM_012704919.2	RNF150
Hvul_v3_XM_012704924.2	FGF1
Hvul_v3_XM_012704933.2	FAM151A
Hvul_v3_XM_012704935.1	
Hvul_v3_XM_012704941.2	GPR139
Hvul_v3_XM_012704953.2	SLC5A9
Hvul_v3_XM_012704957.2	IPPK
Hvul_v3_XM_012704961.2	ANPEP
Hvul_v3_XM_012704965.2	NEK8
Hvul_v3_XM_012704970.2	CTSL
Hvul_v3_XM_012704975.2	CETN3
Hvul_v3_XM_012704977.2	
Hvul_v3_XM_012704979.2	
Hvul_v3_XM_012704988.1	
Hvul_v3_XM_012704998.2	
Hvul_v3_XM_012704999.2	ACP2
Hvul_v3_XM_012705000.2	SUFU
Hvul_v3_XM_012705005.2	
Hvul_v3_XM_012705026.2	MAPK15
Hvul_v3_XM_012705028.2	
Hvul_v3_XM_012705034.2	
Hvul_v3_XM_012705038.1	
Hvul_v3_XM_012705040.2	
Hvul_v3_XM_012705047.2	
Hvul_v3_XM_012705048.2	
Hvul_v3_XM_012705055.1	PIF1
Hvul_v3_XM_012705061.2	OPN3
Hvul_v3_XM_012705064.2	SMYD4
Hvul_v3_XM_012705067.2	
Hvul_v3_XM_012705071.2	GYG1
Hvul_v3_XM_012705074.2	ABCC1
Hvul_v3_XM_012705080.2	
Hvul_v3_XM_012705081.2	DUSP10
Hvul_v3_XM_012705089.2	SMIM14
Hvul_v3_XM_012705098.2	CYP2U1
Hvul_v3_XM_012705100.2	
Hvul_v3_XM_012705108.2	MON2
Hvul_v3_XM_012705109.2	
Hvul_v3_XM_012705112.1	ERCC6
Hvul_v3_XM_012705114.2	
Hvul_v3_XM_012705124.2	SLC2A12
Hvul_v3_XM_012705131.2	
Hvul_v3_XM_012705132.2	
Hvul_v3_XM_012705133.2	TBC1D30
Hvul_v3_XM_012705135.2	SPATA6
Hvul_v3_XM_012705139.2	MAK16
Hvul_v3_XM_012705142.2	GGH
Hvul_v3_XM_012705143.2	DHX58
Hvul_v3_XM_012705155.2	CDK2
Hvul_v3_XM_012705156.2	
Hvul_v3_XM_012705162.2	PRIM1
Hvul_v3_XM_012705166.2	
Hvul_v3_XM_012705168.2	PKD2
Hvul_v3_XM_012705180.2	EXT1
Hvul_v3_XM_012705187.2	
Hvul_v3_XM_012705190.2	
Hvul_v3_XM_012705201.2	
Hvul_v3_XM_012705203.2	
Hvul_v3_XM_012705208.2	ZSWIM9
Hvul_v3_XM_012705212.1	
Hvul_v3_XM_012705219.2	SS18L1
Hvul_v3_XM_012705220.2	PIP4P2
Hvul_v3_XM_012705223.2	
Hvul_v3_XM_012705238.2	VBP1
Hvul_v3_XM_012705239.2	OVCH1
Hvul_v3_XM_012705244.2	GTF2IRD2
Hvul_v3_XM_012705247.2	
Hvul_v3_XM_012705251.2	
Hvul_v3_XM_012705265.2	ENO4
Hvul_v3_XM_012705291.2	RASEF
Hvul_v3_XM_012705295.2	
Hvul_v3_XM_012705297.2	
Hvul_v3_XM_012705298.2	GLUL
Hvul_v3_XM_012705307.2	
Hvul_v3_XM_012705311.2	GSS
Hvul_v3_XM_012705312.2	
Hvul_v3_XM_012705317.2	
Hvul_v3_XM_012705318.2	SPR
Hvul_v3_XM_012705320.2	ZMYM1
Hvul_v3_XM_012705323.2	
Hvul_v3_XM_012705325.2	GABRB2
Hvul_v3_XM_012705341.2	NCF2
Hvul_v3_XM_012705347.2	ATP1A3
Hvul_v3_XM_012705349.2	
Hvul_v3_XM_012705369.2	PTTG1IP
Hvul_v3_XM_012705382.2	ZNF862
Hvul_v3_XM_012705384.2	
Hvul_v3_XM_012705394.2	SLC36A4
Hvul_v3_XM_012705399.2	ADCK1
Hvul_v3_XM_012705401.2	WDR62
Hvul_v3_XM_012705409.2	
Hvul_v3_XM_012705415.2	OPN3
Hvul_v3_XM_012705420.2	TCTEX1D2
Hvul_v3_XM_012705421.2	CHRNA9
Hvul_v3_XM_012705430.2	SLC44A4
Hvul_v3_XM_012705446.1	
Hvul_v3_XM_012705460.2	SLC24A4
Hvul_v3_XM_012705465.2	RAB18
Hvul_v3_XM_012705478.2	CIRBP
Hvul_v3_XM_012705496.2	
Hvul_v3_XM_012705501.2	GNL2
Hvul_v3_XM_012705505.2	BIN3
Hvul_v3_XM_012705508.2	
Hvul_v3_XM_012705512.2	TP53I3
Hvul_v3_XM_012705525.2	TRIM71
Hvul_v3_XM_012705533.2	
Hvul_v3_XM_012705540.2	MCFD2
Hvul_v3_XM_012705550.2	KRR1
Hvul_v3_XM_012705554.2	RRH
Hvul_v3_XM_012705558.2	GABRB2
Hvul_v3_XM_012705569.1	GVQW3
Hvul_v3_XM_012705571.2	
Hvul_v3_XM_012705579.2	
Hvul_v3_XM_012705584.2	ZBED1
Hvul_v3_XM_012705585.2	IFRD2
Hvul_v3_XM_012705587.2	LRP1B
Hvul_v3_XM_012705591.2	MTRF1L
Hvul_v3_XM_012705593.2	SETMAR
Hvul_v3_XM_012705594.2	HELLS
Hvul_v3_XM_012705596.2	CYTH3
Hvul_v3_XM_012705597.2	ADGRA3
Hvul_v3_XM_012705599.2	
Hvul_v3_XM_012705602.2	MAP3K19
Hvul_v3_XM_012705606.2	
Hvul_v3_XM_012705620.2	ZCCHC24
Hvul_v3_XM_012705643.2	ZCWPW1
Hvul_v3_XM_012705649.1	
Hvul_v3_XM_012705651.2	IQGAP2
Hvul_v3_XM_012705653.2	DDX4
Hvul_v3_XM_012705654.2	NPY1R
Hvul_v3_XM_012705657.2	ATF2
Hvul_v3_XM_012705662.2	
Hvul_v3_XM_012705663.2	
Hvul_v3_XM_012705665.2	SPHK1
Hvul_v3_XM_012705671.2	CCDC25
Hvul_v3_XM_012705682.2	MRC2
Hvul_v3_XM_012705685.2	IFT43
Hvul_v3_XM_012705688.2	
Hvul_v3_XM_012705695.2	ZBED4
Hvul_v3_XM_012705696.2	PRLHR
Hvul_v3_XM_012705712.2	
Hvul_v3_XM_012705713.1	
Hvul_v3_XM_012705719.2	
Hvul_v3_XM_012705730.2	
Hvul_v3_XM_012705733.2	
Hvul_v3_XM_012705736.2	THNSL2
Hvul_v3_XM_012705747.2	
Hvul_v3_XM_012705750.2	SHQ1
Hvul_v3_XM_012705751.2	THAP11
Hvul_v3_XM_012705754.2	UVSSA
Hvul_v3_XM_012705765.2	
Hvul_v3_XM_012705789.2	DRAM1
Hvul_v3_XM_012705792.2	
Hvul_v3_XM_012705796.2	OPN3
Hvul_v3_XM_012705798.2	
Hvul_v3_XM_012705812.2	ZMYM1
Hvul_v3_XM_012705819.2	
Hvul_v3_XM_012705834.2	ZC4H2
Hvul_v3_XM_012705836.2	
Hvul_v3_XM_012705837.2	
Hvul_v3_XM_012705838.2	
Hvul_v3_XM_012705840.2	RAB1A
Hvul_v3_XM_012705845.2	PUS10
Hvul_v3_XM_012705850.2	
Hvul_v3_XM_012705854.2	STK32C
Hvul_v3_XM_012705855.2	
Hvul_v3_XM_012705857.2	FLVCR2
Hvul_v3_XM_012705858.2	FLVCR2
Hvul_v3_XM_012705863.2	
Hvul_v3_XM_012705875.2	
Hvul_v3_XM_012705876.2	ERC2
Hvul_v3_XM_012705883.2	
Hvul_v3_XM_012705892.2	WDR47
Hvul_v3_XM_012705896.2	ODR4
Hvul_v3_XM_012705903.2	
Hvul_v3_XM_012705905.2	GEMIN7
Hvul_v3_XM_012705908.2	
Hvul_v3_XM_012705925.2	HSD17B13
Hvul_v3_XM_012705928.2	CHST11
Hvul_v3_XM_012705934.1	
Hvul_v3_XM_012705938.2	ZMYM1
Hvul_v3_XM_012705939.2	DNAJC21
Hvul_v3_XM_012705940.2	LRRC71
Hvul_v3_XM_012705949.2	DCTPP1
Hvul_v3_XM_012705952.2	TEDC1
Hvul_v3_XM_012705961.2	
Hvul_v3_XM_012705966.2	GM2A
Hvul_v3_XM_012705967.1	ZMYM1
Hvul_v3_XM_012705969.2	MCM3
Hvul_v3_XM_012705977.2	OPN3
Hvul_v3_XM_012705979.2	
Hvul_v3_XM_012705981.2	
Hvul_v3_XM_012705984.1	ERCC6
Hvul_v3_XM_012705985.2	
Hvul_v3_XM_012705987.2	
Hvul_v3_XM_012705990.2	
Hvul_v3_XM_012705992.2	
Hvul_v3_XM_012705994.2	
Hvul_v3_XM_012705995.2	KIAA1328
Hvul_v3_XM_012705996.2	KCNH1
Hvul_v3_XM_012705999.2	MRC1
Hvul_v3_XM_012706000.2	WDR88
Hvul_v3_XM_012706003.2	KCNA1
Hvul_v3_XM_012706004.2	
Hvul_v3_XM_012706006.2	ZMYM1
Hvul_v3_XM_012706015.2	
Hvul_v3_XM_012706017.2	TIGD6
Hvul_v3_XM_012706027.2	
Hvul_v3_XM_012706029.2	ZBED1
Hvul_v3_XM_012706031.2	
Hvul_v3_XM_012706037.1	AC073612.1
Hvul_v3_XM_012706039.2	
Hvul_v3_XM_012706041.2	PHYH
Hvul_v3_XM_012706044.2	ZMYM1
Hvul_v3_XM_012706059.2	SLC6A12
Hvul_v3_XM_012706064.2	OPRM1
Hvul_v3_XM_012706066.2	
Hvul_v3_XM_012706074.2	NAT2
Hvul_v3_XM_012706103.2	
Hvul_v3_XM_012706113.2	LRRK1
Hvul_v3_XM_012706114.1	PIF1
Hvul_v3_XM_012706115.1	PIF1
Hvul_v3_XM_012706126.2	
Hvul_v3_XM_012706128.2	GRM3
Hvul_v3_XM_012706130.2	
Hvul_v3_XM_012706132.2	
Hvul_v3_XM_012706137.1	FAM200A
Hvul_v3_XM_012706139.2	
Hvul_v3_XM_012706141.2	TTC37
Hvul_v3_XM_012706162.2	
Hvul_v3_XM_012706171.2	
Hvul_v3_XM_012706180.2	
Hvul_v3_XM_012706202.2	CASP7
Hvul_v3_XM_012706205.2	MEX3B
Hvul_v3_XM_012706211.2	FDXR
Hvul_v3_XM_012706217.2	CTRB1
Hvul_v3_XM_012706229.2	PRLHR
Hvul_v3_XM_012706231.2	CHRM1
Hvul_v3_XM_012706233.2	
Hvul_v3_XM_012706234.2	
Hvul_v3_XM_012706243.2	
Hvul_v3_XM_012706254.2	MIF
Hvul_v3_XM_012706256.2	DCAF17
Hvul_v3_XM_012706261.2	PNO1
Hvul_v3_XM_012706266.2	KCNA4
Hvul_v3_XM_012706269.2	TIMP3
Hvul_v3_XM_012706277.2	CHRM1
Hvul_v3_XM_012706279.2	TEKT1
Hvul_v3_XM_012706282.2	
Hvul_v3_XM_012706290.2	ARHGDIA
Hvul_v3_XM_012706302.2	SLC6A5
Hvul_v3_XM_012706304.2	
Hvul_v3_XM_012706319.2	EMP1
Hvul_v3_XM_012706340.2	
Hvul_v3_XM_012706341.2	
Hvul_v3_XM_012706344.2	
Hvul_v3_XM_012706351.2	HMCN1
Hvul_v3_XM_012706355.2	GEMIN6
Hvul_v3_XM_012706356.2	PRR5
Hvul_v3_XM_012706361.2	
Hvul_v3_XM_012706362.2	CNFN
Hvul_v3_XM_012706371.1	HARBI1
Hvul_v3_XM_012706374.2	BMT2
Hvul_v3_XM_012706378.2	
Hvul_v3_XM_012706379.2	RPL26
Hvul_v3_XM_012706382.2	ETV6
Hvul_v3_XM_012706386.1	
Hvul_v3_XM_012706388.2	BBS5
Hvul_v3_XM_012706392.2	JRKL
Hvul_v3_XM_012706410.2	OVCA2
Hvul_v3_XM_012706418.2	
Hvul_v3_XM_012706422.2	GTF2IRD2
Hvul_v3_XM_012706430.2	
Hvul_v3_XM_012706436.2	GPR101
Hvul_v3_XM_012706443.2	LMAN2
Hvul_v3_XM_012706458.2	
Hvul_v3_XM_012706459.2	
Hvul_v3_XM_012706462.2	KCNA1
Hvul_v3_XM_012706473.2	
Hvul_v3_XM_012706476.2	OPN3
Hvul_v3_XM_012706477.2	
Hvul_v3_XM_012706486.2	SETMAR
Hvul_v3_XM_012706488.2	ZBED1
Hvul_v3_XM_012706515.2	ACAP2
Hvul_v3_XM_012706518.2	
Hvul_v3_XM_012706519.2	FITM2
Hvul_v3_XM_012706522.2	SMAD3
Hvul_v3_XM_012706525.2	
Hvul_v3_XM_012706527.2	THBS1
Hvul_v3_XM_012706540.2	MAD2L1
Hvul_v3_XM_012706541.2	SLC7A9
Hvul_v3_XM_012706542.1	
Hvul_v3_XM_012706544.2	CHRM1
Hvul_v3_XM_012706553.2	
Hvul_v3_XM_012706557.2	
Hvul_v3_XM_012706561.2	
Hvul_v3_XM_012706567.2	
Hvul_v3_XM_012706568.2	ATP1B1
Hvul_v3_XM_012706573.2	KLKB1
Hvul_v3_XM_012706577.2	HEBP2
Hvul_v3_XM_012706579.1	
Hvul_v3_XM_012706587.2	ABCB1
Hvul_v3_XM_012706589.2	UGP2
Hvul_v3_XM_012706593.2	
Hvul_v3_XM_012706594.2	TOR1A
Hvul_v3_XM_012706595.2	VPS26B
Hvul_v3_XM_012706605.2	ZMYM1
Hvul_v3_XM_012706606.1	ZMYM1
Hvul_v3_XM_012706610.2	PSMD10
Hvul_v3_XM_012706614.2	CHRM1
Hvul_v3_XM_012706618.2	
Hvul_v3_XM_012706634.2	ABCG2
Hvul_v3_XM_012706640.2	ADPGK
Hvul_v3_XM_012706652.1	ZMYM1
Hvul_v3_XM_012706654.2	ARL14EP
Hvul_v3_XM_012706665.2	
Hvul_v3_XM_012706670.2	
Hvul_v3_XM_012706671.2	
Hvul_v3_XM_012706674.2	
Hvul_v3_XM_012706676.2	
Hvul_v3_XM_012706678.2	SNED1
Hvul_v3_XM_012706682.2	
Hvul_v3_XM_012706694.2	
Hvul_v3_XM_012706695.2	BOLL
Hvul_v3_XM_012706705.2	
Hvul_v3_XM_012706711.2	
Hvul_v3_XM_012706713.2	
Hvul_v3_XM_012706717.2	
Hvul_v3_XM_012706725.2	ZBED4
Hvul_v3_XM_012706728.2	ZMYM1
Hvul_v3_XM_012706733.2	GTF2IRD2
Hvul_v3_XM_012706734.2	GTF2IRD2
Hvul_v3_XM_012706741.2	ADRB2
Hvul_v3_XM_012706755.2	POGZ
Hvul_v3_XM_012706758.2	PIGL
Hvul_v3_XM_012706759.1	ZBED4
Hvul_v3_XM_012706765.2	CIRBP
Hvul_v3_XM_012706768.2	STXBP4
Hvul_v3_XM_012706770.2	
Hvul_v3_XM_012706771.2	
Hvul_v3_XM_012706772.2	MNAT1
Hvul_v3_XM_012706777.2	
Hvul_v3_XM_012706787.2	
Hvul_v3_XM_012706788.2	
Hvul_v3_XM_012706789.2	
Hvul_v3_XM_012706792.2	PIF1
Hvul_v3_XM_012706793.2	PIF1
Hvul_v3_XM_012706794.1	
Hvul_v3_XM_012706799.2	
Hvul_v3_XM_012706804.2	UNC93A
Hvul_v3_XM_012706806.2	TMEM26
Hvul_v3_XM_012706812.2	
Hvul_v3_XM_012706818.2	
Hvul_v3_XM_012706824.2	
Hvul_v3_XM_012706825.2	ALG13
Hvul_v3_XM_012706829.2	
Hvul_v3_XM_012706833.2	GAL3ST1
Hvul_v3_XM_012706872.2	
Hvul_v3_XM_012706873.2	TMEM241
Hvul_v3_XM_012706893.2	ACVR2A
Hvul_v3_XM_012706899.2	CARF
Hvul_v3_XM_012706905.2	DNAJC22
Hvul_v3_XM_012706908.2	
Hvul_v3_XM_012706913.1	PIF1
Hvul_v3_XM_012706914.1	
Hvul_v3_XM_012706918.2	
Hvul_v3_XM_012706920.2	HMCN1
Hvul_v3_XM_012706925.2	
Hvul_v3_XM_012706929.1	ZMYM1
Hvul_v3_XM_012706939.2	DRD1
Hvul_v3_XM_012706943.1	
Hvul_v3_XM_012706945.2	
Hvul_v3_XM_012706946.1	
Hvul_v3_XM_012706950.1	
Hvul_v3_XM_012706966.2	DDX59
Hvul_v3_XM_012706967.2	PDE2A
Hvul_v3_XM_012706972.2	NDUFAF7
Hvul_v3_XM_012706979.2	FKRP
Hvul_v3_XM_012706985.1	
Hvul_v3_XM_012707001.2	
Hvul_v3_XM_012707002.2	CASP8
Hvul_v3_XM_012707006.2	
Hvul_v3_XM_012707007.2	
Hvul_v3_XM_012707012.2	
Hvul_v3_XM_012707034.2	
Hvul_v3_XM_012707035.2	HARBI1
Hvul_v3_XM_012707036.1	
Hvul_v3_XM_012707039.2	TIGD6
Hvul_v3_XM_012707040.2	
Hvul_v3_XM_012707046.2	B3GALT6
Hvul_v3_XM_012707047.2	
Hvul_v3_XM_012707048.2	SAP130
Hvul_v3_XM_012707053.2	SYT2
Hvul_v3_XM_012707057.2	
Hvul_v3_XM_012707063.2	
Hvul_v3_XM_012707067.2	GRM3
Hvul_v3_XM_012707068.2	
Hvul_v3_XM_012707070.2	MCPH1
Hvul_v3_XM_012707071.2	
Hvul_v3_XM_012707073.2	MED17
Hvul_v3_XM_012707078.2	RPL18
Hvul_v3_XM_012707085.2	NEK9
Hvul_v3_XM_012707091.2	GPR139
Hvul_v3_XM_012707093.2	MAD1L1
Hvul_v3_XM_012707097.2	
Hvul_v3_XM_012707101.2	
Hvul_v3_XM_012707103.2	KCNG4
Hvul_v3_XM_012707108.2	
Hvul_v3_XM_012707116.2	
Hvul_v3_XM_012707117.2	CHRM1
Hvul_v3_XM_012707118.2	PCK2
Hvul_v3_XM_012707138.2	B4GALNT4
Hvul_v3_XM_012707139.2	
Hvul_v3_XM_012707141.2	
Hvul_v3_XM_012707148.2	
Hvul_v3_XM_012707150.1	
Hvul_v3_XM_012707154.2	ZMYM6
Hvul_v3_XM_012707157.2	ARMC4
Hvul_v3_XM_012707163.2	OPN3
Hvul_v3_XM_012707165.2	
Hvul_v3_XM_012707166.2	HARBI1
Hvul_v3_XM_012707169.2	
Hvul_v3_XM_012707171.2	SAFB
Hvul_v3_XM_012707172.2	
Hvul_v3_XM_012707173.2	RAI1
Hvul_v3_XM_012707175.2	TMEM107
Hvul_v3_XM_012707179.2	
Hvul_v3_XM_012707180.2	KRAS
Hvul_v3_XM_012707207.2	
Hvul_v3_XM_012707222.2	THAP2
Hvul_v3_XM_012707225.2	CEP152
Hvul_v3_XM_012707232.2	
Hvul_v3_XM_012707241.2	UROS
Hvul_v3_XM_012707244.2	
Hvul_v3_XM_012707250.1	
Hvul_v3_XM_012707251.2	UTP23
Hvul_v3_XM_012707271.2	GRM3
Hvul_v3_XM_012707278.2	KLHL24
Hvul_v3_XM_012707279.2	
Hvul_v3_XM_012707288.2	GAL3ST2
Hvul_v3_XM_012707292.2	
Hvul_v3_XM_012707296.2	CTNNBL1
Hvul_v3_XM_012707299.2	
Hvul_v3_XM_012707301.2	CBR3
Hvul_v3_XM_012707306.2	
Hvul_v3_XM_012707331.2	
Hvul_v3_XM_012707335.2	CHRNA9
Hvul_v3_XM_012707337.2	STX5
Hvul_v3_XM_012707347.2	
Hvul_v3_XM_012707355.1	
Hvul_v3_XM_012707361.2	
Hvul_v3_XM_012707367.2	
Hvul_v3_XM_012707370.2	
Hvul_v3_XM_012707371.2	
Hvul_v3_XM_012707374.2	
Hvul_v3_XM_012707380.2	
Hvul_v3_XM_012707383.2	CHPF2
Hvul_v3_XM_012707390.2	
Hvul_v3_XM_012707396.2	
Hvul_v3_XM_012707411.2	
Hvul_v3_XM_012707421.1	
Hvul_v3_XM_012707432.2	TEK
Hvul_v3_XM_012707433.2	
Hvul_v3_XM_012707436.2	
Hvul_v3_XM_012707441.2	
Hvul_v3_XM_012707442.2	
Hvul_v3_XM_012707444.2	
Hvul_v3_XM_012707447.2	
Hvul_v3_XM_012707451.2	
Hvul_v3_XM_012707453.2	ZBED4
Hvul_v3_XM_012707455.2	METTL5
Hvul_v3_XM_012707456.2	ZEB2
Hvul_v3_XM_012707459.2	
Hvul_v3_XM_012707463.2	JRKL
Hvul_v3_XM_012707466.2	
Hvul_v3_XM_012707467.2	
Hvul_v3_XM_012707469.2	OPN3
Hvul_v3_XM_012707482.2	GRM3
Hvul_v3_XM_012707485.2	
Hvul_v3_XM_012707489.2	ADRA1B
Hvul_v3_XM_012707490.2	ADRA1B
Hvul_v3_XM_012707497.2	
Hvul_v3_XM_012707500.2	
Hvul_v3_XM_012707517.2	GLB1
Hvul_v3_XM_012707518.2	CMKLR1
Hvul_v3_XM_012707519.1	HARBI1
Hvul_v3_XM_012707521.2	
Hvul_v3_XM_012707523.2	DOT1L
Hvul_v3_XM_012707524.1	
Hvul_v3_XM_012707546.2	
Hvul_v3_XM_012707553.2	EMC1
Hvul_v3_XM_012707558.2	RAVER1
Hvul_v3_XM_012707563.2	RHEB
Hvul_v3_XM_012707568.2	
Hvul_v3_XM_012707570.2	KTI12
Hvul_v3_XM_012707576.2	PAFAH1B3
Hvul_v3_XM_012707581.2	
Hvul_v3_XM_012707582.2	
Hvul_v3_XM_012707594.2	
Hvul_v3_XM_012707602.2	CHRM1
Hvul_v3_XM_012707611.2	RIT1
Hvul_v3_XM_012707620.2	
Hvul_v3_XM_012707643.2	SLC25A24
Hvul_v3_XM_012707644.2	
Hvul_v3_XM_012707659.2	
Hvul_v3_XM_012707662.2	EIF3E
Hvul_v3_XM_012707664.2	PTPDC1
