ko	uniprot_entry	ensembl_transcript	name	name_long
K01127	Q8VCU2	Mmus_ENSMUST00000021773	GPLD1	glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50]
K01128	P70158	Mmus_ENSMUST00000020022	SMPDL3	sphingomyelin phosphodiesterase acid-like 3 [EC:3.1.4.-]
K01128	P58242	Mmus_ENSMUST00000030709	SMPDL3	sphingomyelin phosphodiesterase acid-like 3 [EC:3.1.4.-]
K01132	Q571E4	Mmus_ENSMUST00000015171	GALNS	N-acetylgalactosamine-6-sulfatase [EC:3.1.6.4]
K01134	P50428	Mmus_ENSMUST00000165199	ARSA	arylsulfatase A [EC:3.1.6.8]
K01135	A0A0R4J138	Mmus_ENSMUST00000091403	ARSB	arylsulfatase B [EC:3.1.6.12]
K01136	Q08890	Mmus_ENSMUST00000101509	IDS	iduronate 2-sulfatase [EC:3.1.6.13]
K01137	Q8BFR4	Mmus_ENSMUST00000040344	GNS	N-acetylglucosamine-6-sulfatase [EC:3.1.6.14]
K01148	A0A0R4J0P6	Mmus_ENSMUST00000058884	PARN, PNLDC1	poly(A)-specific ribonuclease [EC:3.1.13.4]
K01148	B2RXZ1	Mmus_ENSMUST00000163394	PARN, PNLDC1	poly(A)-specific ribonuclease [EC:3.1.13.4]
K01149	Q9D735	Mmus_ENSMUST00000047281	TRIR	telomerase RNA component interacting RNase [EC:3.1.13.-]
K01158	P56542	Mmus_ENSMUST00000003910	DNASE2	deoxyribonuclease II [EC:3.1.22.1]
K01158	Q9QY48	Mmus_ENSMUST00000029836	DNASE2	deoxyribonuclease II [EC:3.1.22.1]
K01158	Q9QY48	Mmus_ENSMUST00000200633	DNASE2	deoxyribonuclease II [EC:3.1.22.1]
K01164	Q9D4G5	Mmus_ENSMUST00000079028	POP1	ribonuclease P/MRP protein subunit POP1 [EC:3.1.26.5]
K01165	Q05921	Mmus_ENSMUST00000086209	RNASEL	ribonuclease L
K01166	C0HKG5	Mmus_ENSMUST00000089119	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01166	C0HKG6	Mmus_ENSMUST00000089119	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01166	C0HKG5	Mmus_ENSMUST00000097420	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01166	C0HKG6	Mmus_ENSMUST00000097420	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01166	C0HKG5	Mmus_ENSMUST00000179728	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01166	C0HKG6	Mmus_ENSMUST00000179728	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01166	C0HKG6	Mmus_ENSMUST00000231550	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01166	C0HKG5	Mmus_ENSMUST00000231550	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01166	C0HKG5	Mmus_ENSMUST00000231927	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01166	C0HKG6	Mmus_ENSMUST00000231927	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01166	C0HKG6	Mmus_ENSMUST00000232307	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01166	C0HKG5	Mmus_ENSMUST00000232307	RNASET2	ribonuclease T2 [EC:4.6.1.19]
K01168	O35292	Mmus_ENSMUST00000075648	RNASE1_2	pancreatic ribonuclease [EC:4.6.1.18]
K01168	Q8C6G3	Mmus_ENSMUST00000080126	RNASE1_2	pancreatic ribonuclease [EC:4.6.1.18]
K01172	Q3V3L3	Mmus_ENSMUST00000095923	RNASE6_7_8	ribonuclease 6/7/8 [EC:3.1.27.-]
K01172	Q3V3L3	Mmus_ENSMUST00000226194	RNASE6_7_8	ribonuclease 6/7/8 [EC:3.1.27.-]
K01173	O08600	Mmus_ENSMUST00000015481	ENDOG	endonuclease G, mitochondrial
K01176	P00687	Mmus_ENSMUST00000067980	AMY, amyA, malS	alpha-amylase [EC:3.2.1.1]
K01176	P00688	Mmus_ENSMUST00000098667	AMY, amyA, malS	alpha-amylase [EC:3.2.1.1]
K01176	P00688	Mmus_ENSMUST00000098673	AMY, amyA, malS	alpha-amylase [EC:3.2.1.1]
K01176	P00687	Mmus_ENSMUST00000106540	AMY, amyA, malS	alpha-amylase [EC:3.2.1.1]
K01176	P00688	Mmus_ENSMUST00000179314	AMY, amyA, malS	alpha-amylase [EC:3.2.1.1]
K01176	P00688	Mmus_ENSMUST00000179568	AMY, amyA, malS	alpha-amylase [EC:3.2.1.1]
K01183	Q80W26	Mmus_ENSMUST00000029510	E3.2.1.14	chitinase [EC:3.2.1.14]
K01183	Q91XA9	Mmus_ENSMUST00000079132	E3.2.1.14	chitinase [EC:3.2.1.14]
K01183	Q9D7Q1	Mmus_ENSMUST00000086475	E3.2.1.14	chitinase [EC:3.2.1.14]
K01183	Q9D7Q1	Mmus_ENSMUST00000159963	E3.2.1.14	chitinase [EC:3.2.1.14]
K01183	Q9D7Q1	Mmus_ENSMUST00000160060	E3.2.1.14	chitinase [EC:3.2.1.14]
K01186	O35657	Mmus_ENSMUST00000007253	NEU1	sialidase-1 [EC:3.2.1.18]
K01189	Q8BGZ6	Mmus_ENSMUST00000239113	GLA	alpha-galactosidase [EC:3.2.1.22]
K01191	Q91W89	Mmus_ENSMUST00000160147	MAN2C1	alpha-mannosidase [EC:3.2.1.24]
K01192	A0A0R4J092	Mmus_ENSMUST00000029814	E3.2.1.25, MANBA, manB	beta-mannosidase [EC:3.2.1.25]
K01194	Q9JLT2	Mmus_ENSMUST00000034609	TREH, treA, treF	alpha,alpha-trehalase [EC:3.2.1.28]
K01195	P12265	Mmus_ENSMUST00000026613	uidA, GUSB	beta-glucuronidase [EC:3.2.1.31]
K01196	F8VPN4	Mmus_ENSMUST00000040603	AGL	glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33]
K01196	F8VPN4	Mmus_ENSMUST00000162792	AGL	glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33]
K01197	O35632	Mmus_ENSMUST00000010191	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	Q91ZJ9	Mmus_ENSMUST00000010195	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	Q812F3	Mmus_ENSMUST00000031689	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	Q9D4E9	Mmus_ENSMUST00000031690	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	Q05A56	Mmus_ENSMUST00000031691	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	P48794	Mmus_ENSMUST00000031693	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	Q8VEI3	Mmus_ENSMUST00000040059	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	Q91ZJ9	Mmus_ENSMUST00000112387	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	Q8VEI3	Mmus_ENSMUST00000148440	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	O35632	Mmus_ENSMUST00000195752	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	Q812F3	Mmus_ENSMUST00000200968	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	P48794	Mmus_ENSMUST00000202331	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01197	P48794	Mmus_ENSMUST00000202569	hya	hyaluronoglucosaminidase [EC:3.2.1.35]
K01201	P17439	Mmus_ENSMUST00000077367	GBA, srfJ	glucosylceramidase [EC:3.2.1.45]
K01201	P17439	Mmus_ENSMUST00000167998	GBA, srfJ	glucosylceramidase [EC:3.2.1.45]
K01202	P54818	Mmus_ENSMUST00000021390	GALC	galactosylceramidase [EC:3.2.1.46]
K01203	F8VQM5	Mmus_ENSMUST00000094190	SI	sucrase-isomaltase [EC:3.2.1.48 3.2.1.10]
K01203	F8VQM5	Mmus_ENSMUST00000167334	SI	sucrase-isomaltase [EC:3.2.1.48 3.2.1.10]
K01204	Q9QWR8	Mmus_ENSMUST00000023088	NAGA	alpha-N-acetylgalactosaminidase [EC:3.2.1.49]
K01206	Q99LJ1	Mmus_ENSMUST00000030434	FUCA	alpha-L-fucosidase [EC:3.2.1.51]
K01206	Q99KR8	Mmus_ENSMUST00000060212	FUCA	alpha-L-fucosidase [EC:3.2.1.51]
K01206	Q99KR8	Mmus_ENSMUST00000121465	FUCA	alpha-L-fucosidase [EC:3.2.1.51]
K01217	Q8BMG0	Mmus_ENSMUST00000071650	IDUA	L-iduronidase [EC:3.2.1.76]
K01217	Q8BMG0	Mmus_ENSMUST00000112563	IDUA	L-iduronidase [EC:3.2.1.76]
K01217	Q8BLF6	Mmus_ENSMUST00000119212	IDUA	L-iduronidase [EC:3.2.1.76]
K01227	Q8BX80	Mmus_ENSMUST00000043447	ENGASE	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]
K01227	Q8BX80	Mmus_ENSMUST00000135383	ENGASE	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]
K01227	Q8BX80	Mmus_ENSMUST00000172279	ENGASE	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]
K01228	Q80UM7	Mmus_ENSMUST00000032114	MOGS	mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]
K01229	F8VPT3	Mmus_ENSMUST00000073490	LCT	lactase-phlorizin hydrolase [EC:3.2.1.108 3.2.1.62]
K01230	P45700	Mmus_ENSMUST00000003843	MAN1A_C, MNS1_2	mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]
K01230	P39098	Mmus_ENSMUST00000008907	MAN1A_C, MNS1_2	mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]
K01230	P45700	Mmus_ENSMUST00000105470	MAN1A_C, MNS1_2	mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]
K01231	P27046	Mmus_ENSMUST00000086723	MAN2	alpha-mannosidase II [EC:3.2.1.114]
K01231	Q8BRK9	Mmus_ENSMUST00000098346	MAN2	alpha-mannosidase II [EC:3.2.1.114]
K01242	P56528	Mmus_ENSMUST00000030964	CD38	ADP-ribosyl cyclase 1 [EC:3.2.2.6 2.4.99.20]
K01245	P54923	Mmus_ENSMUST00000002923	ADPRH	ADP-ribosylarginine hydrolase [EC:3.2.2.19]
K01251	Q80SW1	Mmus_ENSMUST00000029490	AHCY, ahcY	adenosylhomocysteinase [EC:3.13.2.1]
K01251	P50247	Mmus_ENSMUST00000054607	AHCY, ahcY	adenosylhomocysteinase [EC:3.13.2.1]
K01251	P50247	Mmus_ENSMUST00000059524	AHCY, ahcY	adenosylhomocysteinase [EC:3.13.2.1]
K01251	Q68FL4	Mmus_ENSMUST00000115238	AHCY, ahcY	adenosylhomocysteinase [EC:3.13.2.1]
K01251	Q68FL4	Mmus_ENSMUST00000115242	AHCY, ahcY	adenosylhomocysteinase [EC:3.13.2.1]
K01253	Q9D379	Mmus_ENSMUST00000036928	EPHX1	microsomal epoxide hydrolase [EC:3.3.2.9]
K01254	P24527	Mmus_ENSMUST00000016033	LTA4H	leukotriene-A4 hydrolase [EC:3.3.2.6]
K01257	Q8C129	Mmus_ENSMUST00000041047	LNPEP	cystinyl aminopeptidase [EC:3.4.11.3]
K01260	Q8VCT3	Mmus_ENSMUST00000077340	RNPEP	aminopeptidase B [EC:3.4.11.6]
K01262	B7ZMP1	Mmus_ENSMUST00000041609	pepP	Xaa-Pro aminopeptidase [EC:3.4.11.9]
K01262	B7ZMP1	Mmus_ENSMUST00000163754	pepP	Xaa-Pro aminopeptidase [EC:3.4.11.9]
K01262	Q3UE92	Mmus_ENSMUST00000183108	pepP	Xaa-Pro aminopeptidase [EC:3.4.11.9]
K01262	Q6P1B1	Mmus_ENSMUST00000236058	pepP	Xaa-Pro aminopeptidase [EC:3.4.11.9]
K01262	Q6P1B1	Mmus_ENSMUST00000237294	pepP	Xaa-Pro aminopeptidase [EC:3.4.11.9]
K01265	Q8BP48	Mmus_ENSMUST00000029804	map	methionyl aminopeptidase [EC:3.4.11.18]
K01265	Q9CPW9	Mmus_ENSMUST00000037210	map	methionyl aminopeptidase [EC:3.4.11.18]
K01265	O08663	Mmus_ENSMUST00000047910	map	methionyl aminopeptidase [EC:3.4.11.18]
K01265	O08663	Mmus_ENSMUST00000180840	map	methionyl aminopeptidase [EC:3.4.11.18]
K01267	Q9Z2W0	Mmus_ENSMUST00000066668	DNPEP	aspartyl aminopeptidase [EC:3.4.11.21]
K01267	Q9Z2W0	Mmus_ENSMUST00000113605	DNPEP	aspartyl aminopeptidase [EC:3.4.11.21]
K01267	Q9Z2W0	Mmus_ENSMUST00000187836	DNPEP	aspartyl aminopeptidase [EC:3.4.11.21]
K01273	P31428	Mmus_ENSMUST00000019422	DPEP	membrane dipeptidase [EC:3.4.13.19]
K01273	Q9DA79	Mmus_ENSMUST00000034371	DPEP	membrane dipeptidase [EC:3.4.13.19]
K01273	Q8C255	Mmus_ENSMUST00000034373	DPEP	membrane dipeptidase [EC:3.4.13.19]
K01273	Q8C255	Mmus_ENSMUST00000117555	DPEP	membrane dipeptidase [EC:3.4.13.19]
K01273	Q8C255	Mmus_ENSMUST00000227363	DPEP	membrane dipeptidase [EC:3.4.13.19]
K01275	P97821	Mmus_ENSMUST00000032779	CTSC	cathepsin C [EC:3.4.14.1]
K01276	Q9ET22	Mmus_ENSMUST00000028332	DPP7	dipeptidyl-peptidase II [EC:3.4.14.2]
K01277	Q99KK7	Mmus_ENSMUST00000025851	DPP3	dipeptidyl-peptidase III [EC:3.4.14.4]
K01278	P28843	Mmus_ENSMUST00000047812	DPP4, CD26	dipeptidyl-peptidase 4 [EC:3.4.14.5]
K01279	O89023	Mmus_ENSMUST00000033184	TPP1, CLN2	tripeptidyl-peptidase I [EC:3.4.14.9]
K01280	Q64514	Mmus_ENSMUST00000087933	TPP2	tripeptidyl-peptidase II [EC:3.4.14.10]
K01280	Q64514	Mmus_ENSMUST00000188313	TPP2	tripeptidyl-peptidase II [EC:3.4.14.10]
K01283	P09470	Mmus_ENSMUST00000001963	ACE, CD143	peptidyl-dipeptidase A [EC:3.4.15.1]
K01283	P09470	Mmus_ENSMUST00000001964	ACE, CD143	peptidyl-dipeptidase A [EC:3.4.15.1]
K01283	D0G895	Mmus_ENSMUST00000190995	ACE, CD143	peptidyl-dipeptidase A [EC:3.4.15.1]
K01285	Q7TMR0	Mmus_ENSMUST00000076052	PRCP	lysosomal Pro-X carboxypeptidase [EC:3.4.16.2]
K01291	B2RS76	Mmus_ENSMUST00000011607	CPB1	carboxypeptidase B [EC:3.4.17.2]
K01292	Q9JJN5	Mmus_ENSMUST00000026210	CPN1	carboxypeptidase N catalytic subunit [EC:3.4.17.3]
K01294	Q00493	Mmus_ENSMUST00000048967	CPE	carboxypeptidase E [EC:3.4.17.10]
K01296	Q80V42	Mmus_ENSMUST00000020399	CPM	carboxypeptidase M [EC:3.4.17.12]
K01298	Q504N0	Mmus_ENSMUST00000096066	CPA2	carboxypeptidase A2 [EC:3.4.17.15]
K01300	Q9JHH6	Mmus_ENSMUST00000022576	CPB2	carboxypeptidase B2 [EC:3.4.17.20]
K01301	Q7M758	Mmus_ENSMUST00000044451	NAALAD	N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
K01301	Q9CZR2	Mmus_ENSMUST00000166825	NAALAD	N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
K01301	A0A0N4SUJ3	Mmus_ENSMUST00000203414	NAALAD	N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
K01302	Q9WVJ3	Mmus_ENSMUST00000042167	CPQ	carboxypeptidase Q [EC:3.4.17.-]
K01302	Q9WVJ3	Mmus_ENSMUST00000228916	CPQ	carboxypeptidase Q [EC:3.4.17.-]
K01303	Q8R146	Mmus_ENSMUST00000193254	APEH	acylaminoacyl-peptidase [EC:3.4.19.1]
K01304	Q9ESW8	Mmus_ENSMUST00000070173	pcp	pyroglutamyl-peptidase [EC:3.4.19.3]
K01306	A0AAA9U8G1	Mmus_ENSMUST00000061632	TRHDE	pyroglutamyl-peptidase II [EC:3.4.19.6]
K01306	Q8K093	Mmus_ENSMUST00000239411	TRHDE	pyroglutamyl-peptidase II [EC:3.4.19.6]
K01307	Q9Z0L8	Mmus_ENSMUST00000098242	GGH	gamma-glutamyl hydrolase [EC:3.4.19.9]
K01309	Q76LS9	Mmus_ENSMUST00000039537	MINDY1_2	ubiquitin carboxyl-terminal hydrolase MINDY-1/2 [EC:3.4.19.12]
K01309	Q6PDI6	Mmus_ENSMUST00000049031	MINDY1_2	ubiquitin carboxyl-terminal hydrolase MINDY-1/2 [EC:3.4.19.12]
K01309	Q76LS9	Mmus_ENSMUST00000107187	MINDY1_2	ubiquitin carboxyl-terminal hydrolase MINDY-1/2 [EC:3.4.19.12]
K01309	Q76LS9	Mmus_ENSMUST00000168223	MINDY1_2	ubiquitin carboxyl-terminal hydrolase MINDY-1/2 [EC:3.4.19.12]
K01310	Q9CR35	Mmus_ENSMUST00000034435	CTRB	chymotrypsin [EC:3.4.21.1]
K01312	Q9Z1R9	Mmus_ENSMUST00000031910	PRSS1_2_3	trypsin [EC:3.4.21.4]
K01312	Q9R0T7	Mmus_ENSMUST00000031913	PRSS1_2_3	trypsin [EC:3.4.21.4]
K01312	Q9CPN9	Mmus_ENSMUST00000031931	PRSS1_2_3	trypsin [EC:3.4.21.4]
K01312	Q792Y9	Mmus_ENSMUST00000049079	PRSS1_2_3	trypsin [EC:3.4.21.4]
K01312	Q9QUK9	Mmus_ENSMUST00000064324	PRSS1_2_3	trypsin [EC:3.4.21.4]
K01312	P07146	Mmus_ENSMUST00000070380	PRSS1_2_3	trypsin [EC:3.4.21.4]
K01312	Q792Z1	Mmus_ENSMUST00000072103	PRSS1_2_3	trypsin [EC:3.4.21.4]
K01312	Q9CPN7	Mmus_ENSMUST00000076638	PRSS1_2_3	trypsin [EC:3.4.21.4]
K01312	Q792Y8	Mmus_ENSMUST00000095999	PRSS1_2_3	trypsin [EC:3.4.21.4]
K01312	Q792Z0	Mmus_ENSMUST00000096003	PRSS1_2_3	trypsin [EC:3.4.21.4]
K01312	F6R7E8	Mmus_ENSMUST00000166306	PRSS1_2_3	trypsin [EC:3.4.21.4]
K01313	P19221	Mmus_ENSMUST00000028681	F2	coagulation factor II (thrombin) [EC:3.4.21.5]
K01314	O88947	Mmus_ENSMUST00000063820	F10	coagulation factor X [EC:3.4.21.6]
K01315	P20918	Mmus_ENSMUST00000014578	PLG	plasminogen [EC:3.4.21.7]
K01316	P97435	Mmus_ENSMUST00000023566	TMPRSS15, PRSS7	enterokinase [EC:3.4.21.9]
K01317	P23578	Mmus_ENSMUST00000023295	ACR	acrosin [EC:3.4.21.10]
K01319	P28293	Mmus_ENSMUST00000015583	CTSG	cathepsin G [EC:3.4.21.20]
K01320	P70375	Mmus_ENSMUST00000033820	F7	coagulation factor VII [EC:3.4.21.21]
K01321	P16294	Mmus_ENSMUST00000033477	F9	coagulation factor IX (Christmas factor) [EC:3.4.21.22]
K01322	Q9QUR6	Mmus_ENSMUST00000099858	PREP	prolyl oligopeptidase [EC:3.4.21.26]
K01323	Q91Y47	Mmus_ENSMUST00000034064	F11	coagulation factor XI [EC:3.4.21.27]
K01324	P26262	Mmus_ENSMUST00000026907	KLKB1	plasma kallikrein [EC:3.4.21.34]
K01325	P15946	Mmus_ENSMUST00000007156	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01325	P36369	Mmus_ENSMUST00000048945	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01325	P07628	Mmus_ENSMUST00000072204	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01325	Q61754	Mmus_ENSMUST00000073713	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01325	P15945	Mmus_ENSMUST00000074359	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01325	P15947	Mmus_ENSMUST00000075162	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01325	P15948	Mmus_ENSMUST00000077528	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01325	P00755	Mmus_ENSMUST00000078835	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01325	Q9JM71	Mmus_ENSMUST00000079859	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01325	P15949	Mmus_ENSMUST00000081399	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01325	P00756	Mmus_ENSMUST00000085450	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01325	Q61759	Mmus_ENSMUST00000085455	KLK1_2	tissue kallikrein [EC:3.4.21.35]
K01326	Q91X79	Mmus_ENSMUST00000023775	CELA1	pancreatic elastase I [EC:3.4.21.36]
K01327	Q3UP87	Mmus_ENSMUST00000046091	ELANE	leukocyte elastase [EC:3.4.21.37]
K01328	Q80YC5	Mmus_ENSMUST00000021948	F12	coagulation factor XII (Hageman factor) [EC:3.4.21.38]
K01329	A4QPC5	Mmus_ENSMUST00000022834	CMA1	chymase [EC:3.4.21.39]
K01329	Q3UN88	Mmus_ENSMUST00000043249	CMA1	chymase [EC:3.4.21.39]
K01329	P21844	Mmus_ENSMUST00000226280	CMA1	chymase [EC:3.4.21.39]
K01330	Q8CG16	Mmus_ENSMUST00000068593	C1R	complement component 1, r subcomponent [EC:3.4.21.41]
K01330	Q8CFG9	Mmus_ENSMUST00000184647	C1R	complement component 1, r subcomponent [EC:3.4.21.41]
K01331	Q8CFG8	Mmus_ENSMUST00000068797	C1S	complement component 1, s subcomponent [EC:3.4.21.42]
K01331	E9Q6C2	Mmus_ENSMUST00000160505	C1S	complement component 1, s subcomponent [EC:3.4.21.42]
K01331	E9Q6C2	Mmus_ENSMUST00000162443	C1S	complement component 1, s subcomponent [EC:3.4.21.42]
K01331	A0A1W2P7F1	Mmus_ENSMUST00000218020	C1S	complement component 1, s subcomponent [EC:3.4.21.42]
K01332	P21180	Mmus_ENSMUST00000025230	C2	complement component 2 [EC:3.4.21.43]
K01333	Q61129	Mmus_ENSMUST00000077918	CFI	complement factor I [EC:3.4.21.45]
K01334	P03953	Mmus_ENSMUST00000061653	CFD	complement factor D [EC:3.4.21.46]
K01334	P03953	Mmus_ENSMUST00000217837	CFD	complement factor D [EC:3.4.21.46]
K01335	B8JJM6	Mmus_ENSMUST00000176203	CFB	complement factor B [EC:3.4.21.47]
K01338	Q9DBN5	Mmus_ENSMUST00000034141	lon	ATP-dependent Lon protease [EC:3.4.21.53]
K01338	Q9DBN5	Mmus_ENSMUST00000122188	lon	ATP-dependent Lon protease [EC:3.4.21.53]
K01338	Q9DBN5	Mmus_ENSMUST00000155433	lon	ATP-dependent Lon protease [EC:3.4.21.53]
K01339	P04071	Mmus_ENSMUST00000005933	KLK16	g-renin [EC:3.4.21.54]
K01340	E9QJW9	Mmus_ENSMUST00000234477	E3.4.21.59	tryptase [EC:3.4.21.59]
K01340	E9QJW9	Mmus_ENSMUST00000249732	E3.4.21.59	tryptase [EC:3.4.21.59]
K01340	E9QJW9	Mmus_ENSMUST00000249733	E3.4.21.59	tryptase [EC:3.4.21.59]
K01343	P11214	Mmus_ENSMUST00000033941	PLAT	tissue plasminogen activator [EC:3.4.21.68]
K01344	P33587	Mmus_ENSMUST00000171765	PROC	protein C (activated) [EC:3.4.21.69]
K01344	P33587	Mmus_ENSMUST00000234651	PROC	protein C (activated) [EC:3.4.21.69]
K01345	A2A9U8	Mmus_ENSMUST00000024200	CELA3	pancreatic endopeptidase E [EC:3.4.21.70]
K01345	Q9CQ52	Mmus_ENSMUST00000102522	CELA3	pancreatic endopeptidase E [EC:3.4.21.70]
K01346	P05208	Mmus_ENSMUST00000102481	CELA2	pancreatic elastase II [EC:3.4.21.71]
K01348	P06869	Mmus_ENSMUST00000022368	PLAU	urokinase plasminogen activator [EC:3.4.21.73]
K01349	P23188	Mmus_ENSMUST00000107362	FURIN, PCSK3	furin [EC:3.4.21.75]
K01349	P23188	Mmus_ENSMUST00000120753	FURIN, PCSK3	furin [EC:3.4.21.75]
K01349	P23188	Mmus_ENSMUST00000122232	FURIN, PCSK3	furin [EC:3.4.21.75]
K01350	A0A0R4IZY6	Mmus_ENSMUST00000006679	PRTN3	myeloblastin [EC:3.4.21.76]
K01352	P11032	Mmus_ENSMUST00000023897	GZMA	granzyme A [EC:3.4.21.78]
K01352	P11032	Mmus_ENSMUST00000224282	GZMA	granzyme A [EC:3.4.21.78]
K01353	P04187	Mmus_ENSMUST00000015581	GZMB	granzyme B [EC:3.4.21.79]
K01357	P70701	Mmus_ENSMUST00000006718	WNT10	wingless-type MMTV integration site family, member 10
K01357	P48614	Mmus_ENSMUST00000023732	WNT10	wingless-type MMTV integration site family, member 10
K01357	P48614	Mmus_ENSMUST00000166022	WNT10	wingless-type MMTV integration site family, member 10
K01357	P48614	Mmus_ENSMUST00000226610	WNT10	wingless-type MMTV integration site family, member 10
K01357	Q1RME7	Mmus_ENSMUST00000226655	WNT10	wingless-type MMTV integration site family, member 10
K01357	P48614	Mmus_ENSMUST00000226846	WNT10	wingless-type MMTV integration site family, member 10
K01357	P48614	Mmus_ENSMUST00000228594	WNT10	wingless-type MMTV integration site family, member 10
K01358	O88696	Mmus_ENSMUST00000002735	clpP, CLPP	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
K01359	P63239	Mmus_ENSMUST00000022075	PCSK1	proprotein convertase subtilisin/kexin type 1 [EC:3.4.21.93]
K01360	P21661	Mmus_ENSMUST00000028905	PCSK2	proprotein convertase subtilisin/kexin type 2 [EC:3.4.21.94]
K01362	Q7M761	Mmus_ENSMUST00000106755	OVCH	ovochymase [EC:3.4.21.-]
K01363	P10605	Mmus_ENSMUST00000006235	CTSB	cathepsin B [EC:3.4.22.1]
K01365	P06797	Mmus_ENSMUST00000021933	CTSL	cathepsin L [EC:3.4.22.15]
K01365	P06797	Mmus_ENSMUST00000222517	CTSL	cathepsin L [EC:3.4.22.15]
K01366	P49935	Mmus_ENSMUST00000034915	CTSH	cathepsin H [EC:3.4.22.16]
K01367	O35350	Mmus_ENSMUST00000025891	CAPN1	calpain-1 [EC:3.4.22.52]
K01367	O35350	Mmus_ENSMUST00000164843	CAPN1	calpain-1 [EC:3.4.22.52]
K01368	O70370	Mmus_ENSMUST00000116304	CTSS	cathepsin S [EC:3.4.22.27]
K01369	O89017	Mmus_ENSMUST00000021607	LGMN	legumain [EC:3.4.22.34]
K01369	O89017	Mmus_ENSMUST00000110020	LGMN	legumain [EC:3.4.22.34]
K01370	P29452	Mmus_ENSMUST00000027015	CASP1	caspase 1 [EC:3.4.22.36]
K01371	P55097	Mmus_ENSMUST00000015664	CTSK	cathepsin K [EC:3.4.22.38]
K01372	Q8R016	Mmus_ENSMUST00000021197	BLMH, pepC	bleomycin hydrolase [EC:3.4.22.40]
K01373	Q9R013	Mmus_ENSMUST00000119694	CTSF	cathepsin F [EC:3.4.22.41]
K01374	Q8BM88	Mmus_ENSMUST00000029649	CTSO	cathepsin O [EC:3.4.22.42]
K01376	Q99K23	Mmus_ENSMUST00000034051	UFSP2	Ufm1-specific protease 2 [EC:3.4.22.-]
K01377	Q9D7R7	Mmus_ENSMUST00000024782	PGC	gastricsin [EC:3.4.23.3]
K01378	B7ZWD6	Mmus_ENSMUST00000029504	CYM	chymosin [EC:3.4.23.4]
K01379	P18242	Mmus_ENSMUST00000151120	CTSD	cathepsin D [EC:3.4.23.5]
K01380	P06281	Mmus_ENSMUST00000094556	REN	renin [EC:3.4.23.15]
K01382	P70269	Mmus_ENSMUST00000073350	CTSE	cathepsin E [EC:3.4.23.34]
K01384	P48615	Mmus_ENSMUST00000067495	WNT11	wingless-type MMTV integration site family, member 11
