Ocupat_v02_G000001.t0	Ocupat_v02_G000001
Ocupat_v02_G013851.t0	Ocupat_v02_G013851
Ocupat_v02_G013851.t1	Ocupat_v02_G013851
Ocupat_v02_G013852.t0	Ocupat_v02_G013852
Ocupat_v02_G013853.t0	Ocupat_v02_G013853
Ocupat_v02_G013854.t0	Ocupat_v02_G013854
Ocupat_v02_G013855.t0	Ocupat_v02_G013855
Ocupat_v02_G013855.t1	Ocupat_v02_G013855
Ocupat_v02_G013856.t0	Ocupat_v02_G013856
Ocupat_v02_G013857.t0	Ocupat_v02_G013857
Ocupat_v02_G013861.t0	Ocupat_v02_G013861
Ocupat_v02_G013863.t0	Ocupat_v02_G013863
Ocupat_v02_G013864.t0	Ocupat_v02_G013864
Ocupat_v02_G013865.t0	Ocupat_v02_G013865
Ocupat_v02_G013867.t0	Ocupat_v02_G013867
Ocupat_v02_G013868.t0	Ocupat_v02_G013868
Ocupat_v02_G013869.t0	Ocupat_v02_G013869
Ocupat_v02_G013870.t0	Ocupat_v02_G013870
Ocupat_v02_G013871.t0	Ocupat_v02_G013871
Ocupat_v02_G013872.t0	Ocupat_v02_G013872
Ocupat_v02_G013873.t0	Ocupat_v02_G013873
Ocupat_v02_G013874.t0	Ocupat_v02_G013874
Ocupat_v02_G013875.t0	Ocupat_v02_G013875
Ocupat_v02_G013876.t0	Ocupat_v02_G013876
Ocupat_v02_G013877.t0	Ocupat_v02_G013877
Ocupat_v02_G013878.t0	Ocupat_v02_G013878
Ocupat_v02_G013879.t0	Ocupat_v02_G013879
Ocupat_v02_G013881.t0	Ocupat_v02_G013881
Ocupat_v02_G013882.t0	Ocupat_v02_G013882
Ocupat_v02_G013883.t0	Ocupat_v02_G013883
Ocupat_v02_G013884.t0	Ocupat_v02_G013884
Ocupat_v02_G013885.t0	Ocupat_v02_G013885
Ocupat_v02_G013886.t0	Ocupat_v02_G013886
Ocupat_v02_G013887.t0	Ocupat_v02_G013887
Ocupat_v02_G013888.t0	Ocupat_v02_G013888
Ocupat_v02_G013889.t0	Ocupat_v02_G013889
Ocupat_v02_G013890.t0	Ocupat_v02_G013890
Ocupat_v02_G013891.t0	Ocupat_v02_G013891
Ocupat_v02_G013892.t0	Ocupat_v02_G013892
Ocupat_v02_G013893.t0	Ocupat_v02_G013893
Ocupat_v02_G013894.t0	Ocupat_v02_G013894
Ocupat_v02_G013895.t0	Ocupat_v02_G013895
Ocupat_v02_G013895.t1	Ocupat_v02_G013895
Ocupat_v02_G013897.t0	Ocupat_v02_G013897
Ocupat_v02_G013897.t1	Ocupat_v02_G013897
Ocupat_v02_G013898.t0	Ocupat_v02_G013898
Ocupat_v02_G013899.t0	Ocupat_v02_G013899
Ocupat_v02_G013900.t0	Ocupat_v02_G013900
Ocupat_v02_G013901.t0	Ocupat_v02_G013901
Ocupat_v02_G013902.t0	Ocupat_v02_G013902
Ocupat_v02_G013903.t0	Ocupat_v02_G013903
Ocupat_v02_G013904.t0	Ocupat_v02_G013904
Ocupat_v02_G013905.t0	Ocupat_v02_G013905
Ocupat_v02_G013906.t0	Ocupat_v02_G013906
Ocupat_v02_G013907.t0	Ocupat_v02_G013907
Ocupat_v02_G013908.t0	Ocupat_v02_G013908
Ocupat_v02_G013909.t0	Ocupat_v02_G013909
Ocupat_v02_G013910.t0	Ocupat_v02_G013910
Ocupat_v02_G013911.t0	Ocupat_v02_G013911
Ocupat_v02_G013912.t0	Ocupat_v02_G013912
Ocupat_v02_G013913.t0	Ocupat_v02_G013913
Ocupat_v02_G013914.t0	Ocupat_v02_G013914
Ocupat_v02_G013915.t0	Ocupat_v02_G013915
Ocupat_v02_G013916.t0	Ocupat_v02_G013916
Ocupat_v02_G013917.t0	Ocupat_v02_G013917
Ocupat_v02_G013918.t0	Ocupat_v02_G013918
Ocupat_v02_G013919.t0	Ocupat_v02_G013919
Ocupat_v02_G013920.t0	Ocupat_v02_G013920
Ocupat_v02_G013921.t0	Ocupat_v02_G013921
Ocupat_v02_G013922.t0	Ocupat_v02_G013922
Ocupat_v02_G013923.t0	Ocupat_v02_G013923
Ocupat_v02_G013924.t0	Ocupat_v02_G013924
Ocupat_v02_G013925.t0	Ocupat_v02_G013925
Ocupat_v02_G013926.t0	Ocupat_v02_G013926
Ocupat_v02_G013927.t0	Ocupat_v02_G013927
Ocupat_v02_G013928.t0	Ocupat_v02_G013928
Ocupat_v02_G013929.t0	Ocupat_v02_G013929
Ocupat_v02_G013930.t0	Ocupat_v02_G013930
Ocupat_v02_G013931.t0	Ocupat_v02_G013931
Ocupat_v02_G013932.t0	Ocupat_v02_G013932
Ocupat_v02_G013934.t0	Ocupat_v02_G013934
Ocupat_v02_G013935.t0	Ocupat_v02_G013935
Ocupat_v02_G013936.t0	Ocupat_v02_G013936
Ocupat_v02_G013937.t0	Ocupat_v02_G013937
Ocupat_v02_G013938.t0	Ocupat_v02_G013938
Ocupat_v02_G013939.t0	Ocupat_v02_G013939
Ocupat_v02_G013940.t0	Ocupat_v02_G013940
Ocupat_v02_G013941.t0	Ocupat_v02_G013941
Ocupat_v02_G013942.t0	Ocupat_v02_G013942
Ocupat_v02_G013943.t0	Ocupat_v02_G013943
Ocupat_v02_G013944.t0	Ocupat_v02_G013944
Ocupat_v02_G013945.t0	Ocupat_v02_G013945
Ocupat_v02_G013946.t0	Ocupat_v02_G013946
Ocupat_v02_G013947.t0	Ocupat_v02_G013947
Ocupat_v02_G013948.t0	Ocupat_v02_G013948
Ocupat_v02_G013949.t0	Ocupat_v02_G013949
Ocupat_v02_G013950.t0	Ocupat_v02_G013950
Ocupat_v02_G013951.t0	Ocupat_v02_G013951
Ocupat_v02_G013952.t0	Ocupat_v02_G013952
Ocupat_v02_G013953.t0	Ocupat_v02_G013953
Ocupat_v02_G013954.t0	Ocupat_v02_G013954
Ocupat_v02_G013955.t0	Ocupat_v02_G013955
Ocupat_v02_G013956.t0	Ocupat_v02_G013956
Ocupat_v02_G013957.t0	Ocupat_v02_G013957
Ocupat_v02_G013958.t0	Ocupat_v02_G013958
Ocupat_v02_G013959.t0	Ocupat_v02_G013959
Ocupat_v02_G013960.t0	Ocupat_v02_G013960
Ocupat_v02_G013961.t0	Ocupat_v02_G013961
Ocupat_v02_G013962.t0	Ocupat_v02_G013962
Ocupat_v02_G013963.t0	Ocupat_v02_G013963
Ocupat_v02_G013964.t0	Ocupat_v02_G013964
Ocupat_v02_G013965.t0	Ocupat_v02_G013965
Ocupat_v02_G013966.t0	Ocupat_v02_G013966
Ocupat_v02_G013967.t0	Ocupat_v02_G013967
Ocupat_v02_G013968.t0	Ocupat_v02_G013968
Ocupat_v02_G013969.t0	Ocupat_v02_G013969
Ocupat_v02_G013970.t0	Ocupat_v02_G013970
Ocupat_v02_G013970.t1	Ocupat_v02_G013970
Ocupat_v02_G013971.t0	Ocupat_v02_G013971
Ocupat_v02_G013971.t1	Ocupat_v02_G013971
Ocupat_v02_G013972.t0	Ocupat_v02_G013972
Ocupat_v02_G013974.t0	Ocupat_v02_G013974
Ocupat_v02_G013975.t0	Ocupat_v02_G013975
Ocupat_v02_G013976.t0	Ocupat_v02_G013976
Ocupat_v02_G013977.t0	Ocupat_v02_G013977
Ocupat_v02_G013978.t0	Ocupat_v02_G013978
Ocupat_v02_G013979.t0	Ocupat_v02_G013979
Ocupat_v02_G013980.t0	Ocupat_v02_G013980
Ocupat_v02_G013980.t1	Ocupat_v02_G013980
Ocupat_v02_G013982.t0	Ocupat_v02_G013982
Ocupat_v02_G013983.t0	Ocupat_v02_G013983
Ocupat_v02_G013983.t1	Ocupat_v02_G013983
Ocupat_v02_G013983.t2	Ocupat_v02_G013983
Ocupat_v02_G013985.t0	Ocupat_v02_G013985
Ocupat_v02_G013985.t1	Ocupat_v02_G013985
Ocupat_v02_G013986.t0	Ocupat_v02_G013986
Ocupat_v02_G013988.t0	Ocupat_v02_G013988
Ocupat_v02_G013989.t0	Ocupat_v02_G013989
Ocupat_v02_G013990.t0	Ocupat_v02_G013990
Ocupat_v02_G013991.t0	Ocupat_v02_G013991
Ocupat_v02_G013991.t1	Ocupat_v02_G013991
Ocupat_v02_G013992.t0	Ocupat_v02_G013992
Ocupat_v02_G013993.t0	Ocupat_v02_G013993
Ocupat_v02_G013994.t0	Ocupat_v02_G013994
Ocupat_v02_G013995.t0	Ocupat_v02_G013995
Ocupat_v02_G013996.t0	Ocupat_v02_G013996
Ocupat_v02_G013997.t0	Ocupat_v02_G013997
Ocupat_v02_G013998.t0	Ocupat_v02_G013998
Ocupat_v02_G013999.t0	Ocupat_v02_G013999
Ocupat_v02_G014000.t0	Ocupat_v02_G014000
Ocupat_v02_G014001.t0	Ocupat_v02_G014001
Ocupat_v02_G014002.t0	Ocupat_v02_G014002
Ocupat_v02_G014003.t0	Ocupat_v02_G014003
Ocupat_v02_G014004.t0	Ocupat_v02_G014004
Ocupat_v02_G014005.t0	Ocupat_v02_G014005
Ocupat_v02_G014006.t0	Ocupat_v02_G014006
Ocupat_v02_G014007.t0	Ocupat_v02_G014007
Ocupat_v02_G014009.t0	Ocupat_v02_G014009
Ocupat_v02_G014010.t0	Ocupat_v02_G014010
Ocupat_v02_G014011.t0	Ocupat_v02_G014011
Ocupat_v02_G014011.t1	Ocupat_v02_G014011
Ocupat_v02_G014012.t0	Ocupat_v02_G014012
Ocupat_v02_G014012.t1	Ocupat_v02_G014012
Ocupat_v02_G014012.t2	Ocupat_v02_G014012
Ocupat_v02_G014013.t0	Ocupat_v02_G014013
Ocupat_v02_G014013.t1	Ocupat_v02_G014013
Ocupat_v02_G014014.t0	Ocupat_v02_G014014
Ocupat_v02_G014015.t0	Ocupat_v02_G014015
Ocupat_v02_G014016.t0	Ocupat_v02_G014016
Ocupat_v02_G014017.t0	Ocupat_v02_G014017
Ocupat_v02_G014018.t0	Ocupat_v02_G014018
Ocupat_v02_G014018.t1	Ocupat_v02_G014018
Ocupat_v02_G014019.t0	Ocupat_v02_G014019
Ocupat_v02_G014020.t0	Ocupat_v02_G014020
Ocupat_v02_G014021.t0	Ocupat_v02_G014021
Ocupat_v02_G014021.t1	Ocupat_v02_G014021
Ocupat_v02_G014022.t0	Ocupat_v02_G014022
Ocupat_v02_G014023.t0	Ocupat_v02_G014023
Ocupat_v02_G014024.t0	Ocupat_v02_G014024
Ocupat_v02_G014024.t1	Ocupat_v02_G014024
Ocupat_v02_G014025.t0	Ocupat_v02_G014025
Ocupat_v02_G014026.t0	Ocupat_v02_G014026
Ocupat_v02_G014027.t0	Ocupat_v02_G014027
Ocupat_v02_G014028.t0	Ocupat_v02_G014028
Ocupat_v02_G014029.t0	Ocupat_v02_G014029
Ocupat_v02_G014030.t0	Ocupat_v02_G014030
Ocupat_v02_G014031.t0	Ocupat_v02_G014031
Ocupat_v02_G014032.t0	Ocupat_v02_G014032
Ocupat_v02_G014033.t0	Ocupat_v02_G014033
Ocupat_v02_G014034.t0	Ocupat_v02_G014034
Ocupat_v02_G014035.t0	Ocupat_v02_G014035
Ocupat_v02_G014036.t0	Ocupat_v02_G014036
Ocupat_v02_G014037.t0	Ocupat_v02_G014037
Ocupat_v02_G014038.t0	Ocupat_v02_G014038
Ocupat_v02_G014039.t0	Ocupat_v02_G014039
Ocupat_v02_G014040.t0	Ocupat_v02_G014040
Ocupat_v02_G014041.t0	Ocupat_v02_G014041
Ocupat_v02_G014042.t0	Ocupat_v02_G014042
Ocupat_v02_G014043.t0	Ocupat_v02_G014043
Ocupat_v02_G014044.t0	Ocupat_v02_G014044
Ocupat_v02_G014045.t0	Ocupat_v02_G014045
Ocupat_v02_G014046.t0	Ocupat_v02_G014046
Ocupat_v02_G014047.t0	Ocupat_v02_G014047
Ocupat_v02_G014048.t0	Ocupat_v02_G014048
Ocupat_v02_G014049.t0	Ocupat_v02_G014049
Ocupat_v02_G014050.t0	Ocupat_v02_G014050
Ocupat_v02_G014051.t0	Ocupat_v02_G014051
Ocupat_v02_G014052.t0	Ocupat_v02_G014052
Ocupat_v02_G014053.t0	Ocupat_v02_G014053
Ocupat_v02_G014054.t0	Ocupat_v02_G014054
Ocupat_v02_G014055.t0	Ocupat_v02_G014055
Ocupat_v02_G014056.t0	Ocupat_v02_G014056
Ocupat_v02_G014057.t0	Ocupat_v02_G014057
Ocupat_v02_G014058.t0	Ocupat_v02_G014058
Ocupat_v02_G014059.t0	Ocupat_v02_G014059
Ocupat_v02_G014060.t0	Ocupat_v02_G014060
Ocupat_v02_G014061.t0	Ocupat_v02_G014061
Ocupat_v02_G014062.t0	Ocupat_v02_G014062
Ocupat_v02_G014063.t0	Ocupat_v02_G014063
Ocupat_v02_G014064.t0	Ocupat_v02_G014064
Ocupat_v02_G014065.t0	Ocupat_v02_G014065
Ocupat_v02_G014066.t0	Ocupat_v02_G014066
Ocupat_v02_G014066.t1	Ocupat_v02_G014066
Ocupat_v02_G014069.t0	Ocupat_v02_G014069
Ocupat_v02_G014070.t0	Ocupat_v02_G014070
Ocupat_v02_G014071.t0	Ocupat_v02_G014071
Ocupat_v02_G014072.t0	Ocupat_v02_G014072
Ocupat_v02_G014073.t0	Ocupat_v02_G014073
Ocupat_v02_G014074.t0	Ocupat_v02_G014074
Ocupat_v02_G014075.t0	Ocupat_v02_G014075
Ocupat_v02_G014076.t0	Ocupat_v02_G014076
Ocupat_v02_G014077.t0	Ocupat_v02_G014077
Ocupat_v02_G014078.t0	Ocupat_v02_G014078
Ocupat_v02_G014079.t0	Ocupat_v02_G014079
Ocupat_v02_G014080.t0	Ocupat_v02_G014080
Ocupat_v02_G014081.t0	Ocupat_v02_G014081
Ocupat_v02_G014082.t0	Ocupat_v02_G014082
Ocupat_v02_G014083.t0	Ocupat_v02_G014083
Ocupat_v02_G014084.t0	Ocupat_v02_G014084
Ocupat_v02_G014085.t0	Ocupat_v02_G014085
Ocupat_v02_G014086.t0	Ocupat_v02_G014086
Ocupat_v02_G014087.t0	Ocupat_v02_G014087
Ocupat_v02_G014088.t0	Ocupat_v02_G014088
Ocupat_v02_G014089.t0	Ocupat_v02_G014089
Ocupat_v02_G014090.t0	Ocupat_v02_G014090
Ocupat_v02_G014091.t0	Ocupat_v02_G014091
Ocupat_v02_G014093.t0	Ocupat_v02_G014093
Ocupat_v02_G014094.t0	Ocupat_v02_G014094
Ocupat_v02_G014095.t0	Ocupat_v02_G014095
Ocupat_v02_G014096.t0	Ocupat_v02_G014096
Ocupat_v02_G014097.t0	Ocupat_v02_G014097
Ocupat_v02_G014098.t0	Ocupat_v02_G014098
Ocupat_v02_G014099.t0	Ocupat_v02_G014099
Ocupat_v02_G014100.t0	Ocupat_v02_G014100
Ocupat_v02_G014101.t0	Ocupat_v02_G014101
Ocupat_v02_G014101.t1	Ocupat_v02_G014101
Ocupat_v02_G014102.t0	Ocupat_v02_G014102
Ocupat_v02_G014103.t0	Ocupat_v02_G014103
Ocupat_v02_G014104.t0	Ocupat_v02_G014104
Ocupat_v02_G014105.t0	Ocupat_v02_G014105
Ocupat_v02_G014106.t0	Ocupat_v02_G014106
Ocupat_v02_G014108.t0	Ocupat_v02_G014108
Ocupat_v02_G014109.t0	Ocupat_v02_G014109
Ocupat_v02_G014110.t0	Ocupat_v02_G014110
Ocupat_v02_G014111.t0	Ocupat_v02_G014111
Ocupat_v02_G014112.t0	Ocupat_v02_G014112
Ocupat_v02_G014113.t0	Ocupat_v02_G014113
Ocupat_v02_G014114.t0	Ocupat_v02_G014114
Ocupat_v02_G014115.t0	Ocupat_v02_G014115
Ocupat_v02_G014118.t0	Ocupat_v02_G014118
Ocupat_v02_G014120.t0	Ocupat_v02_G014120
Ocupat_v02_G014121.t0	Ocupat_v02_G014121
Ocupat_v02_G014122.t0	Ocupat_v02_G014122
Ocupat_v02_G014123.t0	Ocupat_v02_G014123
Ocupat_v02_G014124.t0	Ocupat_v02_G014124
Ocupat_v02_G014125.t0	Ocupat_v02_G014125
Ocupat_v02_G014126.t0	Ocupat_v02_G014126
Ocupat_v02_G014127.t0	Ocupat_v02_G014127
Ocupat_v02_G014128.t0	Ocupat_v02_G014128
Ocupat_v02_G014129.t0	Ocupat_v02_G014129
Ocupat_v02_G014130.t0	Ocupat_v02_G014130
Ocupat_v02_G014131.t0	Ocupat_v02_G014131
Ocupat_v02_G014132.t0	Ocupat_v02_G014132
Ocupat_v02_G014133.t0	Ocupat_v02_G014133
Ocupat_v02_G014134.t0	Ocupat_v02_G014134
Ocupat_v02_G014135.t0	Ocupat_v02_G014135
Ocupat_v02_G014136.t0	Ocupat_v02_G014136
Ocupat_v02_G014137.t0	Ocupat_v02_G014137
Ocupat_v02_G014138.t0	Ocupat_v02_G014138
Ocupat_v02_G014139.t0	Ocupat_v02_G014139
Ocupat_v02_G014140.t0	Ocupat_v02_G014140
Ocupat_v02_G014141.t0	Ocupat_v02_G014141
Ocupat_v02_G014142.t0	Ocupat_v02_G014142
Ocupat_v02_G014143.t0	Ocupat_v02_G014143
Ocupat_v02_G014144.t0	Ocupat_v02_G014144
Ocupat_v02_G014145.t0	Ocupat_v02_G014145
Ocupat_v02_G014146.t0	Ocupat_v02_G014146
Ocupat_v02_G014147.t0	Ocupat_v02_G014147
Ocupat_v02_G014149.t0	Ocupat_v02_G014149
Ocupat_v02_G014150.t0	Ocupat_v02_G014150
Ocupat_v02_G014151.t0	Ocupat_v02_G014151
Ocupat_v02_G014152.t0	Ocupat_v02_G014152
Ocupat_v02_G014153.t0	Ocupat_v02_G014153
Ocupat_v02_G014154.t0	Ocupat_v02_G014154
Ocupat_v02_G014155.t0	Ocupat_v02_G014155
Ocupat_v02_G014156.t0	Ocupat_v02_G014156
Ocupat_v02_G014157.t0	Ocupat_v02_G014157
Ocupat_v02_G014158.t0	Ocupat_v02_G014158
Ocupat_v02_G014159.t0	Ocupat_v02_G014159
Ocupat_v02_G014160.t0	Ocupat_v02_G014160
Ocupat_v02_G014161.t0	Ocupat_v02_G014161
Ocupat_v02_G014162.t0	Ocupat_v02_G014162
Ocupat_v02_G014163.t0	Ocupat_v02_G014163
Ocupat_v02_G014164.t0	Ocupat_v02_G014164
Ocupat_v02_G014165.t0	Ocupat_v02_G014165
Ocupat_v02_G014166.t0	Ocupat_v02_G014166
Ocupat_v02_G014167.t0	Ocupat_v02_G014167
Ocupat_v02_G014168.t0	Ocupat_v02_G014168
Ocupat_v02_G014169.t0	Ocupat_v02_G014169
Ocupat_v02_G014170.t0	Ocupat_v02_G014170
Ocupat_v02_G014171.t0	Ocupat_v02_G014171
Ocupat_v02_G014172.t0	Ocupat_v02_G014172
Ocupat_v02_G014173.t0	Ocupat_v02_G014173
Ocupat_v02_G014174.t0	Ocupat_v02_G014174
Ocupat_v02_G014175.t0	Ocupat_v02_G014175
Ocupat_v02_G014176.t0	Ocupat_v02_G014176
Ocupat_v02_G014178.t0	Ocupat_v02_G014178
Ocupat_v02_G014179.t0	Ocupat_v02_G014179
Ocupat_v02_G014180.t0	Ocupat_v02_G014180
Ocupat_v02_G014181.t0	Ocupat_v02_G014181
Ocupat_v02_G014182.t0	Ocupat_v02_G014182
Ocupat_v02_G014183.t0	Ocupat_v02_G014183
Ocupat_v02_G014184.t0	Ocupat_v02_G014184
Ocupat_v02_G014185.t0	Ocupat_v02_G014185
Ocupat_v02_G014186.t0	Ocupat_v02_G014186
Ocupat_v02_G014187.t0	Ocupat_v02_G014187
Ocupat_v02_G014188.t0	Ocupat_v02_G014188
Ocupat_v02_G014190.t0	Ocupat_v02_G014190
Ocupat_v02_G014191.t0	Ocupat_v02_G014191
Ocupat_v02_G014192.t0	Ocupat_v02_G014192
Ocupat_v02_G014193.t0	Ocupat_v02_G014193
Ocupat_v02_G014195.t0	Ocupat_v02_G014195
Ocupat_v02_G014196.t0	Ocupat_v02_G014196
Ocupat_v02_G014197.t0	Ocupat_v02_G014197
Ocupat_v02_G014198.t0	Ocupat_v02_G014198
Ocupat_v02_G014199.t0	Ocupat_v02_G014199
Ocupat_v02_G014200.t0	Ocupat_v02_G014200
Ocupat_v02_G014201.t0	Ocupat_v02_G014201
Ocupat_v02_G014202.t0	Ocupat_v02_G014202
Ocupat_v02_G014203.t0	Ocupat_v02_G014203
Ocupat_v02_G014204.t0	Ocupat_v02_G014204
Ocupat_v02_G014205.t0	Ocupat_v02_G014205
Ocupat_v02_G014206.t0	Ocupat_v02_G014206
Ocupat_v02_G014207.t0	Ocupat_v02_G014207
Ocupat_v02_G014208.t0	Ocupat_v02_G014208
Ocupat_v02_G014209.t0	Ocupat_v02_G014209
Ocupat_v02_G014210.t0	Ocupat_v02_G014210
Ocupat_v02_G014211.t0	Ocupat_v02_G014211
Ocupat_v02_G014212.t0	Ocupat_v02_G014212
Ocupat_v02_G014213.t0	Ocupat_v02_G014213
Ocupat_v02_G014214.t0	Ocupat_v02_G014214
Ocupat_v02_G014215.t0	Ocupat_v02_G014215
Ocupat_v02_G014216.t0	Ocupat_v02_G014216
Ocupat_v02_G014217.t0	Ocupat_v02_G014217
Ocupat_v02_G014218.t0	Ocupat_v02_G014218
Ocupat_v02_G014220.t0	Ocupat_v02_G014220
Ocupat_v02_G014221.t0	Ocupat_v02_G014221
Ocupat_v02_G014223.t0	Ocupat_v02_G014223
Ocupat_v02_G014224.t0	Ocupat_v02_G014224
Ocupat_v02_G014226.t0	Ocupat_v02_G014226
Ocupat_v02_G014227.t0	Ocupat_v02_G014227
Ocupat_v02_G014228.t0	Ocupat_v02_G014228
Ocupat_v02_G014229.t0	Ocupat_v02_G014229
Ocupat_v02_G014230.t0	Ocupat_v02_G014230
Ocupat_v02_G014231.t0	Ocupat_v02_G014231
Ocupat_v02_G014232.t0	Ocupat_v02_G014232
Ocupat_v02_G014233.t0	Ocupat_v02_G014233
Ocupat_v02_G014234.t0	Ocupat_v02_G014234
Ocupat_v02_G014235.t0	Ocupat_v02_G014235
Ocupat_v02_G014236.t0	Ocupat_v02_G014236
Ocupat_v02_G014237.t0	Ocupat_v02_G014237
Ocupat_v02_G014238.t0	Ocupat_v02_G014238
Ocupat_v02_G014239.t0	Ocupat_v02_G014239
Ocupat_v02_G014240.t0	Ocupat_v02_G014240
Ocupat_v02_G014241.t0	Ocupat_v02_G014241
Ocupat_v02_G014242.t0	Ocupat_v02_G014242
Ocupat_v02_G014243.t0	Ocupat_v02_G014243
Ocupat_v02_G014245.t0	Ocupat_v02_G014245
Ocupat_v02_G014246.t0	Ocupat_v02_G014246
Ocupat_v02_G014247.t0	Ocupat_v02_G014247
Ocupat_v02_G014248.t0	Ocupat_v02_G014248
Ocupat_v02_G014249.t0	Ocupat_v02_G014249
Ocupat_v02_G014250.t0	Ocupat_v02_G014250
Ocupat_v02_G014251.t0	Ocupat_v02_G014251
Ocupat_v02_G014252.t0	Ocupat_v02_G014252
Ocupat_v02_G014253.t0	Ocupat_v02_G014253
Ocupat_v02_G014254.t0	Ocupat_v02_G014254
Ocupat_v02_G014255.t0	Ocupat_v02_G014255
Ocupat_v02_G014256.t0	Ocupat_v02_G014256
Ocupat_v02_G014257.t0	Ocupat_v02_G014257
Ocupat_v02_G014258.t0	Ocupat_v02_G014258
Ocupat_v02_G014259.t0	Ocupat_v02_G014259
Ocupat_v02_G014260.t0	Ocupat_v02_G014260
Ocupat_v02_G014260.t1	Ocupat_v02_G014260
Ocupat_v02_G014262.t0	Ocupat_v02_G014262
Ocupat_v02_G014263.t0	Ocupat_v02_G014263
Ocupat_v02_G014264.t0	Ocupat_v02_G014264
Ocupat_v02_G014265.t0	Ocupat_v02_G014265
Ocupat_v02_G014266.t0	Ocupat_v02_G014266
Ocupat_v02_G014267.t0	Ocupat_v02_G014267
Ocupat_v02_G014268.t0	Ocupat_v02_G014268
Ocupat_v02_G014269.t0	Ocupat_v02_G014269
Ocupat_v02_G014271.t0	Ocupat_v02_G014271
Ocupat_v02_G014272.t0	Ocupat_v02_G014272
Ocupat_v02_G014273.t0	Ocupat_v02_G014273
Ocupat_v02_G014274.t0	Ocupat_v02_G014274
Ocupat_v02_G014277.t0	Ocupat_v02_G014277
Ocupat_v02_G014279.t0	Ocupat_v02_G014279
Ocupat_v02_G014280.t0	Ocupat_v02_G014280
Ocupat_v02_G014281.t0	Ocupat_v02_G014281
Ocupat_v02_G014282.t0	Ocupat_v02_G014282
Ocupat_v02_G014283.t0	Ocupat_v02_G014283
Ocupat_v02_G014284.t0	Ocupat_v02_G014284
Ocupat_v02_G014285.t0	Ocupat_v02_G014285
Ocupat_v02_G014286.t0	Ocupat_v02_G014286
Ocupat_v02_G014287.t0	Ocupat_v02_G014287
Ocupat_v02_G014288.t0	Ocupat_v02_G014288
Ocupat_v02_G014289.t0	Ocupat_v02_G014289
Ocupat_v02_G014290.t0	Ocupat_v02_G014290
Ocupat_v02_G014291.t0	Ocupat_v02_G014291
Ocupat_v02_G014292.t0	Ocupat_v02_G014292
Ocupat_v02_G014293.t0	Ocupat_v02_G014293
Ocupat_v02_G014294.t0	Ocupat_v02_G014294
Ocupat_v02_G014295.t0	Ocupat_v02_G014295
Ocupat_v02_G014298.t0	Ocupat_v02_G014298
Ocupat_v02_G014299.t0	Ocupat_v02_G014299
Ocupat_v02_G014300.t0	Ocupat_v02_G014300
Ocupat_v02_G014301.t0	Ocupat_v02_G014301
Ocupat_v02_G014302.t0	Ocupat_v02_G014302
Ocupat_v02_G014303.t0	Ocupat_v02_G014303
Ocupat_v02_G014304.t0	Ocupat_v02_G014304
Ocupat_v02_G014305.t0	Ocupat_v02_G014305
Ocupat_v02_G014306.t0	Ocupat_v02_G014306
Ocupat_v02_G014307.t0	Ocupat_v02_G014307
Ocupat_v02_G014308.t0	Ocupat_v02_G014308
Ocupat_v02_G014309.t0	Ocupat_v02_G014309
Ocupat_v02_G014310.t0	Ocupat_v02_G014310
Ocupat_v02_G014311.t0	Ocupat_v02_G014311
Ocupat_v02_G014312.t0	Ocupat_v02_G014312
Ocupat_v02_G014313.t0	Ocupat_v02_G014313
Ocupat_v02_G014314.t0	Ocupat_v02_G014314
Ocupat_v02_G014315.t0	Ocupat_v02_G014315
Ocupat_v02_G014316.t0	Ocupat_v02_G014316
Ocupat_v02_G014317.t0	Ocupat_v02_G014317
Ocupat_v02_G014318.t0	Ocupat_v02_G014318
Ocupat_v02_G014319.t0	Ocupat_v02_G014319
Ocupat_v02_G014320.t0	Ocupat_v02_G014320
Ocupat_v02_G014322.t0	Ocupat_v02_G014322
Ocupat_v02_G014323.t0	Ocupat_v02_G014323
Ocupat_v02_G014325.t0	Ocupat_v02_G014325
Ocupat_v02_G014326.t0	Ocupat_v02_G014326
Ocupat_v02_G014327.t0	Ocupat_v02_G014327
Ocupat_v02_G014328.t0	Ocupat_v02_G014328
Ocupat_v02_G014329.t0	Ocupat_v02_G014329
Ocupat_v02_G014330.t0	Ocupat_v02_G014330
Ocupat_v02_G014331.t0	Ocupat_v02_G014331
Ocupat_v02_G014332.t0	Ocupat_v02_G014332
Ocupat_v02_G014333.t0	Ocupat_v02_G014333
Ocupat_v02_G014334.t0	Ocupat_v02_G014334
Ocupat_v02_G014335.t0	Ocupat_v02_G014335
Ocupat_v02_G014336.t0	Ocupat_v02_G014336
Ocupat_v02_G014339.t0	Ocupat_v02_G014339
Ocupat_v02_G014340.t0	Ocupat_v02_G014340
Ocupat_v02_G014341.t0	Ocupat_v02_G014341
Ocupat_v02_G014344.t0	Ocupat_v02_G014344
Ocupat_v02_G014345.t0	Ocupat_v02_G014345
Ocupat_v02_G014346.t0	Ocupat_v02_G014346
Ocupat_v02_G014347.t0	Ocupat_v02_G014347
Ocupat_v02_G014348.t0	Ocupat_v02_G014348
Ocupat_v02_G014349.t0	Ocupat_v02_G014349
Ocupat_v02_G014350.t0	Ocupat_v02_G014350
Ocupat_v02_G014351.t0	Ocupat_v02_G014351
