Exapal_XM_021036134.2		
Exapal_XM_021036135.2	methionine_sulfoxide_reductase_B2	SelR/
Exapal_XM_021037996.2	adrenoceptor_alpha_1B	7tm_1/
Exapal_XM_021037999.2	solute_carrier_family_49_member_4	MFS_1/
Exapal_XM_021038000.2	eukaryotic_translation_initiation_factor_4_gamma_2	MIF4G/
Exapal_XM_021038001.2	zinc_finger_protein_143	
Exapal_XM_021038004.2	FGFR1_oncogene_partner_2	SIKE/
Exapal_XM_021038005.2		
Exapal_XM_021038006.1		
Exapal_XM_021038007.1	leucine_rich_repeats_and_immunoglobulin_like_domains_1	Ig_3/
Exapal_XM_021038008.2		
Exapal_XM_021038011.2	mucin_4_cell_surface_associated	NIDO/VWD/FXa_inhibition/EGF_CA/cEGF/cEGF/
Exapal_XM_021038016.2	acid_sensing_ion_channel_subunit_2	ASC/
Exapal_XM_021038019.1	G_protein_coupled_receptor_34	7tm_1/
Exapal_XM_021038020.2	chromosome_9_open_reading_frame_116	DUF4490/
Exapal_XM_021038021.2	neuropilin_2	F5_F8_type_C/
Exapal_XM_021038022.1		PAX/
Exapal_XM_021038023.2		
Exapal_XM_021038024.2		DUF1080/
Exapal_XM_021038025.2	transient_receptor_potential_cation_channel_subfamily_V_member_4	Ion_trans/
Exapal_XM_021038026.2	TATA_box_binding_protein_associated_factor_10	TFIID_30kDa/
Exapal_XM_021038027.2		
Exapal_XM_021038030.2	transient_receptor_potential_cation_channel_subfamily_V_member_4	Ion_trans/
Exapal_XM_021038031.2		
Exapal_XM_021038032.1	Fc_fragment_of_IgE_receptor_II	PAN_1/Lectin_C/
Exapal_XM_021038033.2	mannose_receptor_C_type_2	PAN_1/Lectin_C/
Exapal_XM_021038035.2	aggrecan	PAN_1/Lectin_C/
Exapal_XM_021038036.2	mannose_receptor_C_type_2	PAN_1/Lectin_C/
Exapal_XM_021038037.2	ankyrin_repeat_domain_42	Ank_4/Ank_2/Ank_4/
Exapal_XM_021038038.2	testis_associated_actin_remodelling_kinase_2	Pkinase_Tyr/
Exapal_XM_021038039.2	kelch_like_family_member_20	BTB/BACK/Kelch_1/Kelch_1/Kelch_1/Kelch_1/Kelch_1/Kelch_1/
Exapal_XM_021038041.2	potassium_voltage_gated_channel_subfamily_D_member_2	BTB_2/Ion_trans/
Exapal_XM_021038042.1		
Exapal_XM_021038043.2		
Exapal_XM_021038046.2	reticulon_1	Reticulon/
Exapal_XM_021038047.2	fizzy_and_cell_division_cycle_20_related_1	WD40/WD40/
Exapal_XM_021038048.1	guided_entry_of_tail_anchored_proteins_factor_3_ATPase	ArsA_ATPase/
Exapal_XM_021038049.2	DMRT_like_family_A2	DM/DMA/
Exapal_XM_021038050.2	intracisternal_A_particle_promoted_polypeptide	BTB/
Exapal_XM_021038053.2	SRY_box_transcription_factor_21	HMG_box/
Exapal_XM_021038054.2	tripartite_motif_containing_45	zf-B_box/
Exapal_XM_021038055.2	phosphodiesterase_4B	PDE4_UCR/PDEase_I/
Exapal_XM_021038056.1	peroxidasin	I-set/I-set/
Exapal_XM_021038057.2	adenosine_A2a_receptor	7tm_1/
Exapal_XM_021038058.2	Fc_fragment_of_IgE_receptor_II	PAN_1/Lectin_C/
Exapal_XM_021038059.2	PR_SET_domain_6	SET/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/
Exapal_XM_021038060.1	asparagine_synthetase_domain_containing_1	Asn_synthase/
Exapal_XM_021038061.2	dopamine_receptor_D1	7tm_1/
Exapal_XM_021038064.2	adhesion_G_protein_coupled_receptor_L2	Laminin_G_3/fn3/EGF_3/GAIN/GPS/7tm_2/
Exapal_XM_021038065.2		zf-C2H2/
Exapal_XM_021038067.2		
Exapal_XM_021038068.1	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	GST_N_4/GST_C_6/
Exapal_XM_021038069.2		TPR_10/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/
Exapal_XM_021038071.2		HCR/
Exapal_XM_021038072.2	X_prolyl_aminopeptidase_1	Creatinase_N_2/Peptidase_M24/
Exapal_XM_021038073.2	Rho_associated_coiled_coil_containing_protein_kinase_2	Pkinase/Rho_Binding/
Exapal_XM_021038077.2	solute_carrier_family_16_member_10	MFS_1/MFS_1/
Exapal_XM_021038078.2	lysine_acetyltransferase_8	Tudor-knot/zf-MYST/MOZ_SAS/
Exapal_XM_021038082.2	acid_sensing_ion_channel_subunit_family_member_4	ASC/
Exapal_XM_021038089.2	MAM_domain_containing_glycosylphosphatidylinositol_anchor_1	MAM/
Exapal_XM_021038093.1		zf-C2H2_10/
Exapal_XM_021038096.1	meprin_A_subunit_beta	Astacin/TSP_1/MAM/
Exapal_XM_021038097.2		DUF229/
Exapal_XM_021038098.1	reactive_intermediate_imine_deaminase_A_homolog	Ribonuc_L-PSP/
Exapal_XM_021038099.1	iron_sulfur_cluster_assembly_factor_IBA57	GCV_T/
Exapal_XM_021038100.2	coiled_coil_and_C2_domain_containing_1A	C2/
Exapal_XM_021038101.2	NADPH_oxidase_5	
Exapal_XM_021038103.2		
Exapal_XM_021038104.2	aldolase_fructose_bisphosphate_C	Glycolytic/
Exapal_XM_021038105.2	macrophage_migration_inhibitory_factor	MIF/
Exapal_XM_021038107.2	peroxidasin	LRR_8/I-set/I-set/I-set/I-set/An_peroxidase/
Exapal_XM_021038108.1	eukaryotic_translation_initiation_factor_3_subunit_E	PCI/
Exapal_XM_021038109.2	transient_receptor_potential_cation_channel_subfamily_C_member_5	Ank_2/Ank_2/Ank_2/Ank/Ank_2/Ank_2/Ank_2/Ank_2/Ank_2/Ank_4/Ion_trans/
Exapal_XM_021038111.2		
Exapal_XM_021038112.2	reactive_intermediate_imine_deaminase_A_homolog	Ribonuc_L-PSP/
Exapal_XM_021038113.2	thioredoxin_domain_containing_17	DUF953/
Exapal_XM_021038114.2	family_with_sequence_similarity_91_member_A1	FAM91_N/FAM91_C/
Exapal_XM_021038116.2	opsin_1_medium_wave_sensitive	7tm_1/
Exapal_XM_021038117.2	trafficking_protein_particle_complex_12	TPR_8/
Exapal_XM_021038118.2	sterile_alpha_and_TIR_motif_containing_1	SAM_1/TIR_2/
Exapal_XM_021038119.1	ankyrin_repeat_domain_13B	Ank_2/GPCR_chapero_1/UIM/UIM/UIM/UIM/
Exapal_XM_021038120.2	myelin_transcription_factor_1_like	zf-C2HC/zf-C2HC/zf-C2HC/zf-C2HC/zf-C2HC/zf-C2HC/zf-C2HC/
Exapal_XM_021038121.2	trafficking_protein_particle_complex_9	
Exapal_XM_021038128.2	activator_of_transcription_and_developmental_regulator_AUTS2	Auts2/
Exapal_XM_021038129.2	ST6_N_acetylgalactosaminide_alpha_2_6_sialyltransferase_3	Glyco_transf_29/
Exapal_XM_021038131.2	peroxisomal_biogenesis_factor_13	Peroxin-13_N/SH3_2/
Exapal_XM_021038132.2	ribonucleic_acid_export_1	WD40/WD40/
Exapal_XM_021038133.2		
Exapal_XM_021038135.2		Integrase_H2C2/rve/
Exapal_XM_021038137.2	notum_palmitoleoyl_protein_carboxylesterase	PAE/
Exapal_XM_021038138.2	tripartite_motif_containing_33	zf-C3HC4/zf-B_box/NHL/NHL/
Exapal_XM_021038139.2	carbonic_anhydrase_7	Carb_anhydrase/
Exapal_XM_021038143.2	carbonic_anhydrase_2	Carb_anhydrase/
Exapal_XM_021038144.2		Cofac_haem_bdg/
Exapal_XM_021038145.2	CD63_molecule	Tetraspanin/
Exapal_XM_021038146.2	elongator_acetyltransferase_complex_subunit_3	Radical_SAM/Radical_SAM_C/Acetyltransf_1/
Exapal_XM_021038147.1	PDZ_and_LIM_domain_5	PDZ/LIM/Tropomyosin/
Exapal_XM_021038148.2	Sp8_transcription_factor	zf-C2H2/zf-C2H2/
Exapal_XM_021038149.2		
Exapal_XM_021038151.2	transcription_elongation_factor_A1	Med26/TFIIS_M/TFIIS_C/
Exapal_XM_021038152.2	myotubularin_related_protein_3	Myotub-related/FYVE/
Exapal_XM_021038153.2	mitogen_activated_protein_kinase_15	Pkinase/
Exapal_XM_021038154.2	stathmin_2	Stathmin/
Exapal_XM_021038156.2	ribosomal_protein_S21	Ribosomal_S21e/
Exapal_XM_021038157.2	acid_sensing_ion_channel_subunit_3	ASC/
Exapal_XM_021038158.2	required_for_meiotic_nuclear_division_1_homolog	DUF155/
Exapal_XM_021038159.2		Tox-ART-HYD1/
Exapal_XM_021038160.2	ribonuclease_H1	Cauli_VI/RNase_H/
Exapal_XM_021038161.1	monooxygenase_DBH_like_1	DOMON/Cu2_monooxygen/Cu2_monoox_C/
Exapal_XM_021038163.2	regulator_of_telomere_elongation_helicase_1	DEAD_2/Helicase_C_2/
Exapal_XM_021038164.2	ribonucleotide_reductase_regulatory_subunit_M2	Ribonuc_red_sm/
Exapal_XM_021038166.2		
Exapal_XM_021038167.2	transient_receptor_potential_cation_channel_subfamily_C_member_5	Ank_2/Ank_2/Ank_2/Ank_4/Ank_2/Ank_2/Ank_2/Ank_2/Ank_2/Ank/Ion_trans/
Exapal_XM_021038172.2	formyl_peptide_receptor_3	7tm_1/
Exapal_XM_021038173.2		
Exapal_XM_021038175.2		
Exapal_XM_021038177.1		PH/
Exapal_XM_021038178.2	ring_finger_protein_25	
Exapal_XM_021038179.2	meprin_A_subunit_beta	Astacin/TSP_1/MAM/
Exapal_XM_021038180.2	eukaryotic_translation_initiation_factor_2_subunit_alpha	S1/EIF_2_alpha/
Exapal_XM_021038181.2	RAD9_checkpoint_clamp_component_B	Rad9/
Exapal_XM_021038182.1	MAM_domain_containing_2	MAM/
Exapal_XM_021038183.2		ShK/ShK/
Exapal_XM_021038184.2	proline_rich_11	
Exapal_XM_021038186.2		
Exapal_XM_021038189.2		
Exapal_XM_021038190.2	tissue_factor_pathway_inhibitor	Kunitz_BPTI/
Exapal_XM_021038191.2	bone_morphogenetic_protein_receptor_type_1B	Activin_recp/TGF_beta_GS/Pkinase_Tyr/
Exapal_XM_021038193.2		Acetyltransf_10/
Exapal_XM_021038194.2	regulator_of_G_protein_signaling_17	RGS/
Exapal_XM_021038196.2	GIT_ArfGAP_2	ArfGap/Ank_2/GIT_SHD/GIT_SHD/GIT_CC/GIT1_C/
Exapal_XM_021038197.2	aldehyde_dehydrogenase_2_family_member	Aldedh/
Exapal_XM_021038198.2	intraflagellar_transport_22	Roc/
Exapal_XM_021038203.2		
Exapal_XM_021038204.1	catalase	Catalase/Catalase-rel/
Exapal_XM_021038205.2	COPI_coat_complex_subunit_alpha	WD40/WD40/WD40/ANAPC4_WD40/Coatomer_WDAD/COPI_C/
Exapal_XM_021038206.2	protein_phosphatase_6_catalytic_subunit	Metallophos/
Exapal_XM_021038207.2	caspase_7	CARD/Peptidase_C14/
Exapal_XM_021038208.2	lipase_family_member_K	Abhydro_lipase/
Exapal_XM_021038209.2	heat_shock_protein_family_A_Hsp70_member_14	HSP70/
Exapal_XM_021038210.2	fucosyltransferase_6	Glyco_tran_10_N/Glyco_transf_10/
Exapal_XM_021038211.2		
Exapal_XM_021038212.2	mab_21_like_2	Mab-21/
Exapal_XM_021038213.2	zinc_finger_protein_646	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/
Exapal_XM_021038214.2	receptor_for_activated_C_kinase_1	WD40/WD40/WD40/WD40/WD40/WD40/WD40/
Exapal_XM_021038215.2	prosaposin	SapB_2/SapB_1/SapB_2/SapB_1/SapB_2/
Exapal_XM_021038216.2	peroxiredoxin_like_2A	AhpC-TSA_2/
Exapal_XM_021038218.2	heterogeneous_nuclear_ribonucleoprotein_H1	RRM_1/RRM_1/RRM_1/
Exapal_XM_021038219.2	growth_arrest_specific_2	CH/GAS2/
Exapal_XM_021038220.2		Mab-21/
Exapal_XM_021038221.2	potassium_voltage_gated_channel_subfamily_A_member_3	BTB_2/Ion_trans/
Exapal_XM_021038229.2	lin_54_DREAM_MuvB_core_complex_component	TCR/TCR/
Exapal_XM_021038231.2	small_nuclear_ribonucleoprotein_polypeptide_E	LSM/
Exapal_XM_021038232.1	NME_NM23_family_member_5	NDK/Dpy-30/
Exapal_XM_021038234.2	fucosyltransferase_5	Glyco_tran_10_N/Glyco_transf_10/
Exapal_XM_021038235.2		
Exapal_XM_021038237.2	ATPase_H_transporting_V1_subunit_E1	vATP-synt_E/
Exapal_XM_021038238.2	Uncharacterized_protein_114841037	
Exapal_XM_021038243.2	UTP20_small_subunit_processome_component	DRIM/
Exapal_XM_021038244.2	neuronal_pentraxin_1	EGF/Pentaxin/Pentaxin/Pentaxin/Pentaxin/Pentaxin/
Exapal_XM_021038245.2		
Exapal_XM_021038246.2	melatonin_receptor_1A	7tm_1/
Exapal_XM_021038250.1		
Exapal_XM_021038252.1		
Exapal_XM_021038253.2	PC_esterase_domain_containing_1A	PC-Esterase/
Exapal_XM_021038254.2	fatty_acid_2_hydroxylase	Cyt-b5/
Exapal_XM_021038255.2	alanyl_tRNA_synthetase_1	tRNA-synt_2c/
Exapal_XM_021038256.2	SEC24_homolog_C_COPII_coat_complex_component	zf-Sec23_Sec24/
Exapal_XM_021038257.1	alpha_and_gamma_adaptin_binding_protein	Adaptin_binding/
Exapal_XM_021038258.1	TNNI3_interacting_kinase	zf-C3HC4_2/Pkinase/
Exapal_XM_021038259.2	deltex_E3_ubiquitin_ligase_3L	DTC/
Exapal_XM_021038260.1	synaptotagmin_1	C2/
Exapal_XM_021038261.1	dystrophin	Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/
Exapal_XM_021038262.2		DDE_3/
Exapal_XM_021038263.2	CRK_proto_oncogene_adaptor_protein	SH2/SH3_1/SH3_2/
Exapal_XM_021038264.1		SCAN/Asp_protease_2/
Exapal_XM_021038266.1		Peptidase_A17/
Exapal_XM_021038267.1		
Exapal_XM_021038268.1	doublesex_and_mab_3_related_transcription_factor_3	DM/
Exapal_XM_021038269.1		DDE_3/
Exapal_XM_021038270.2		
Exapal_XM_021038271.2	GDP_D_glucose_phosphorylase_1	
Exapal_XM_021038273.2		Bmt2/
Exapal_XM_021038274.2	serine_and_arginine_rich_splicing_factor_6	RRM_1/RRM_1/
Exapal_XM_021038275.2		Tropomyosin/
Exapal_XM_021038276.2	GLI_pathogenesis_related_2	ShK/CAP/
Exapal_XM_021038277.2	MAM_and_LDL_receptor_class_A_domain_containing_1	MAM/MAM/MAM/MAM/MAM/
Exapal_XM_021038278.2	transmembrane_serine_protease_11D	WAP/Thyroglobulin_1/Thyroglobulin_1/Trypsin/
Exapal_XM_021038280.2		CxC2/
Exapal_XM_021038281.2	septin_4	Septin/
Exapal_XM_021038283.2	ribosomal_protein_S24	Ribosomal_S24e/
Exapal_XM_021038284.2	mediator_complex_subunit_19	Med19/
Exapal_XM_021038286.2	chromodomain_Y_like	Chromo/
Exapal_XM_021038287.1	kinetochore_associated_1	
Exapal_XM_021038288.1	surfactant_protein_D	Lectin_C/
Exapal_XM_021038289.2	membrane_associated_ring_CH_type_finger_6	
Exapal_XM_021038290.2	spondin_1	
Exapal_XM_021038291.2		
Exapal_XM_021038292.2	zinc_finger_CCHC_type_containing_24	zf-CCHC_2/zf-3CxxC_2/
Exapal_XM_021038293.2	solute_carrier_family_12_member_9	AA_permease/SLC12/
Exapal_XM_021038294.2	TEA_domain_transcription_factor_1	TEA/YBD/
Exapal_XM_021038295.2	solute_carrier_family_25_member_22	Mito_carr/Mito_carr/Mito_carr/
Exapal_XM_021038297.2		WH1/
Exapal_XM_021038298.2	sterile_alpha_motif_domain_containing_8	SAM_1/PAP2_C/
Exapal_XM_021038299.2		DED/Glycos_transf_1/
Exapal_XM_021038300.2	BCL2_like_13	Bcl-2/
Exapal_XM_021038301.2		
Exapal_XM_021038303.2	tissue_specific_transplantation_antigen_P35B	Epimerase/
Exapal_XM_021038304.2		Collagen/Collagen/Collagen/
Exapal_XM_021038305.2	toll_interacting_protein	C2/CUE/
Exapal_XM_021038306.2	dehydrogenase_reductase_12	adh_short/
Exapal_XM_021038307.1	phosphoinositide_3_kinase_adaptor_protein_1	DBB/
Exapal_XM_021038308.2		
Exapal_XM_021038309.2		
Exapal_XM_021038311.2		
Exapal_XM_021038312.2	zinc_finger_CCCH_type_containing_10	zf-CCCH/zf-CCCH_2/zf-CCCH_2/
Exapal_XM_021038313.2		
Exapal_XM_021038316.2		
Exapal_XM_021038322.2	CRK_proto_oncogene_adaptor_protein	SH2/SH3_1/SH3_2/
Exapal_XM_021038323.2	NLR_family_CARD_domain_containing_5	NACHT/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/
Exapal_XM_021038327.2		
Exapal_XM_021038328.2		
Exapal_XM_021038329.2	phosphorylase_kinase_catalytic_subunit_gamma_2	Pkinase/
Exapal_XM_021038330.2	dopamine_receptor_D1	7tm_1/
Exapal_XM_021038332.2	thymus_brain_and_testes_associated	SPATIAL/
Exapal_XM_021038337.2	sorbin_and_SH3_domain_containing_2	PDZ/SH3_2/SH3_1/SH3_9/
Exapal_XM_021038343.2	renalase_FAD_dependent_amine_oxidase	NAD_binding_8/Amino_oxidase/
Exapal_XM_021038344.2	paired_box_2	PAX/
Exapal_XM_021038345.2	DnaJ_heat_shock_protein_family_Hsp40_member_C25	DnaJ/
Exapal_XM_021038349.2	adhesion_G_protein_coupled_receptor_D1	GPS/7tm_2/
Exapal_XM_021038350.2	regenerating_family_member_1_alpha	Lectin_C/
Exapal_XM_021038351.2	phospholipase_A2_receptor_1	Lectin_C/
Exapal_XM_021038353.2	C_type_lectin_domain_containing_10A	Lectin_C/
Exapal_XM_021038354.2	regenerating_family_member_1_alpha	Lectin_C/
Exapal_XM_021038358.2	glutamate_ionotropic_receptor_NMDA_type_subunit_1	Lig_chan-Glu_bd/Lig_chan/
Exapal_XM_021038359.2	serine_protease_12	EGF/SRCR/
Exapal_XM_021038360.2	kynureninase	Aminotran_5/
Exapal_XM_021038361.2	ELOVL_fatty_acid_elongase_7	ELO/
Exapal_XM_021038362.2		Death/
Exapal_XM_021038363.2	ELOVL_fatty_acid_elongase_5	ELO/
Exapal_XM_021038364.2	caspase_2	Peptidase_C14/Peptidase_C14/
Exapal_XM_021038365.2	caspase_2	Peptidase_C14/
Exapal_XM_021038367.2	caspase_10	AAA_22/TPR_12/TPR_12/ZU5/ZU5/Peptidase_C14/
Exapal_XM_021038370.2		Cyclase/
Exapal_XM_021038371.2	adhesion_G_protein_coupled_receptor_L2	GPS/7tm_2/
Exapal_XM_021038372.2	fibroblast_growth_factor_receptor_1	Pkinase_Tyr/
Exapal_XM_021038373.2	spectrin_beta_erythrocytic	CH/
Exapal_XM_021038374.2	jumonji_domain_containing_7	Cupin_8/
Exapal_XM_021038377.2		
Exapal_XM_021038379.2	receptor_tyrosine_kinase_like_orphan_receptor_2	Fz/Kringle/fn3/
Exapal_XM_021038380.2		AAA_22/TPR_8/TPR_12/
Exapal_XM_021038382.2		
Exapal_XM_021038389.2	WD_repeat_and_FYVE_domain_containing_3	PH_BEACH/Beach/WD40/FYVE/
Exapal_XM_021038390.2	piezo_type_mechanosensitive_ion_channel_component_1	
Exapal_XM_021038391.1		CbiA/
Exapal_XM_021038392.1		Rep_1/
Exapal_XM_021038393.1	golgin_A5	Golgin_A5/
Exapal_XM_021038394.2	monooxygenase_DBH_like_1	DOMON/Cu2_monooxygen/Cu2_monoox_C/
Exapal_XM_021038395.2	cleavage_and_polyadenylation_specific_factor_3	Lactamase_B_6/Beta-Casp/RMMBL/CPSF73-100_C/
Exapal_XM_021038396.2	serine_and_arginine_rich_splicing_factor_4	RRM_1/RRM_1/
Exapal_XM_021038397.2		
Exapal_XM_021038398.2	tumor_protein_p73	P53/
Exapal_XM_021038400.2	centrin_3	PDZ/PDZ/PDZ/EF-hand_7/
Exapal_XM_021038401.2	tetraspanin_5	Tetraspanin/
Exapal_XM_021038403.2		DOMON/
Exapal_XM_021038404.2		DDE_Tnp_4/
Exapal_XM_021038405.2		
Exapal_XM_021038407.2	hydroxysteroid_17_beta_dehydrogenase_14	adh_short_C2/
Exapal_XM_021038408.1		
Exapal_XM_021038409.2	solute_carrier_family_33_member_1	Acatn/
Exapal_XM_021038411.2	discs_large_MAGUK_scaffold_protein_2	PDZ/
Exapal_XM_021038412.2	calcium_sensing_receptor	ANF_receptor/7tm_3/
Exapal_XM_021038413.2	forkhead_box_F1	Forkhead/
Exapal_XM_021038414.2		
Exapal_XM_021038415.2	milk_fat_globule_EGF_factor_8_protein	F5_F8_type_C/
Exapal_XM_021038417.2	actin_filament_associated_protein_1	PH/PH/PH/
Exapal_XM_021038418.2		DDE_Tnp_4/
Exapal_XM_021038419.1		DNA_pol_B_2/
Exapal_XM_021038422.2	PR_SET_domain_14	zf-H2C2_2/zf-C2H2/
Exapal_XM_021038424.1	monooxygenase_DBH_like_1	Cu2_monooxygen/Cu2_monoox_C/
Exapal_XM_021038425.2	migration_and_invasion_inhibitory_protein	MIIP/
Exapal_XM_021038428.2	acyl_CoA_thioesterase_4	Bile_Hydr_Trans/BAAT_C/
Exapal_XM_021038434.2		
Exapal_XM_021038437.2	WD_repeat_and_FYVE_domain_containing_2	WD40/WD40/FYVE/
Exapal_XM_021038438.2	spectrin_alpha_non_erythrocytic_1	Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/
Exapal_XM_021038439.2	synaptotagmin_6	C2/C2/
Exapal_XM_021038440.2	flavin_containing_dimethylaniline_monoxygenase_2	FMO-like/
Exapal_XM_021038441.2	NLR_family_pyrin_domain_containing_14	NACHT/LRR_6/LRR_6/
Exapal_XM_021038442.2	prohibitin	Band_7/
Exapal_XM_021038443.2	centrosomal_protein_76	CEP76-C2/
Exapal_XM_021038444.2	tetratricopeptide_repeat_domain_5	TPR_19/TPR_8/TTC5_OB/
Exapal_XM_021038445.2	thyroid_hormone_receptor_interactor_13	AAA/
Exapal_XM_021038446.2		DDE_Tnp_4/
Exapal_XM_021038447.2	OXA1L_mitochondrial_inner_membrane_protein	60KD_IMP/
Exapal_XM_021038448.2		
Exapal_XM_021038450.2		ShK/ShK/
Exapal_XM_021038451.1	5_oxoprolinase_ATP_hydrolysing	Hydantoinase_B/
Exapal_XM_021038453.2	H3_clustered_histone_13	Histone/
Exapal_XM_021038454.2	H2A.X_variant_histone	Histone/Histone_H2A_C/
Exapal_XM_021038455.2	H2B_clustered_histone_14	Histone/
Exapal_XM_021038456.2	H4_clustered_histone_1	CENP-T_C/
Exapal_XM_021038457.2	acyl_CoA_thioesterase_4	Bile_Hydr_Trans/BAAT_C/
Exapal_XM_021038459.2	protein_tyrosine_phosphatase_receptor_type_D	Ig_3/fn3/
Exapal_XM_021038461.2	ankyrin_repeat_domain_60	Ank_2/
Exapal_XM_021038462.2	melanotransferrin	Transferrin/
Exapal_XM_021038463.2	ATPase_secretory_pathway_Ca2_transporting_1	Cation_ATPase_N/E1-E2_ATPase/Hydrolase/Cation_ATPase_C/
Exapal_XM_021038464.2	par_6_family_cell_polarity_regulator_beta	PB1/PDZ/
Exapal_XM_021038465.2	leucine_rich_repeat_and_coiled_coil_centrosomal_protein_1	LRR_4/
Exapal_XM_021038467.2	p53_and_DNA_damage_regulated_1	
Exapal_XM_021038468.1	tubulin_tyrosine_ligase_like_9	TTL/
Exapal_XM_021038469.2		ShK/ShK/
Exapal_XM_021038470.2	zinc_finger_DHHC_type_palmitoyltransferase_3	DHHC/
Exapal_XM_021038471.2	cyclic_nucleotide_binding_domain_containing_1	cNMP_binding/
Exapal_XM_021038472.2		
Exapal_XM_021038473.2	junctophilin_3	MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/
Exapal_XM_021038474.2		
Exapal_XM_021038477.2	solute_carrier_family_7_member_9	AA_permease_2/
Exapal_XM_021038478.2	myotubularin_related_protein_9	Myotub-related/
Exapal_XM_021038479.2	RAB22A_member_RAS_oncogene_family	Ras/
Exapal_XM_021038481.2	ring_finger_protein_41	zf-C3HC4_2/zf-TRAF/
Exapal_XM_021038482.2		UPAR_LY6/
Exapal_XM_021038483.2	beta_1_3_N_acetylgalactosaminyltransferase_2	Galactosyl_T/
Exapal_XM_021038484.2		SBF_like/
Exapal_XM_021038486.2		Collagen/Collagen/
Exapal_XM_021038487.2		
Exapal_XM_021038489.2	transmembrane_protein_161B	Tmemb_161AB/
Exapal_XM_021038493.2	organic_solute_carrier_partner_1	Oscp1/
Exapal_XM_021038496.2	SHC_binding_and_spindle_associated_1	Beta_helix/Beta_helix/
Exapal_XM_021038498.2	hes_family_bHLH_transcription_factor_1	HLH/Hairy_orange/
Exapal_XM_021038504.2		
Exapal_XM_021038507.1		
Exapal_XM_021038509.1		
Exapal_XM_021038510.2	acyl_CoA_thioesterase_1	Bile_Hydr_Trans/BAAT_C/
Exapal_XM_021038511.2	acyl_CoA_thioesterase_2	BAAT_C/
Exapal_XM_021038512.2	glutathione_S_transferase_mu_3	GST_C_3/
Exapal_XM_021038513.2	mitochondrial_ribosomal_protein_L38	PBP/
Exapal_XM_021038514.2	acyl_CoA_thioesterase_4	BAAT_C/
Exapal_XM_021038515.2	FAT_atypical_cadherin_1	Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Laminin_G_1/Laminin_G_2/EGF/Cadherin_C/
Exapal_XM_021038516.2		ShK/ShK/
Exapal_XM_021038517.2		
Exapal_XM_021038518.2	zinc_finger_RNA_binding_protein	
Exapal_XM_021038519.2		
Exapal_XM_021038521.1		
Exapal_XM_021038522.1		
Exapal_XM_021038524.1	golgi_glycoprotein_1	Cys_rich_FGFR/Cys_rich_FGFR/Cys_rich_FGFR/
Exapal_XM_021038525.2		Collagen/
Exapal_XM_021038526.2		
Exapal_XM_021038529.1		Collagen/Collagen/
Exapal_XM_021038530.2	aryl_hydrocarbon_receptor	PAS/PAS_3/
Exapal_XM_021038532.2	transient_receptor_potential_cation_channel_subfamily_M_member_2	LSDAT_euk/Ion_trans/NUDIX/
Exapal_XM_021038533.2		
Exapal_XM_021038534.2	cytochrome_b561	Cytochrom_B561/
Exapal_XM_021038535.2	tubulin_alpha_1a	Tubulin/Tubulin_C/
Exapal_XM_021038536.2	tubulin_alpha_1a	Tubulin/Tubulin/
Exapal_XM_021038537.2	synaptotagmin_15	C2/C2/
Exapal_XM_021038539.2		
Exapal_XM_021038541.2	poly_A_specific_ribonuclease	CAF1/RNA_bind/
Exapal_XM_021038542.2		
Exapal_XM_021038543.2	solute_carrier_family_35_member_G1	EamA/
Exapal_XM_021038544.2	thioredoxin_related_transmembrane_protein_1	Thioredoxin/
Exapal_XM_021038545.2	reversion_inducing_cysteine_rich_protein_with_kazal_motifs	Pacifastin_I/Kazal_2/Kazal_2/Kazal_2/
Exapal_XM_021038550.2	signal_transducer_and_activator_of_transcription_6	STAT_bind/
Exapal_XM_021038552.2		
Exapal_XM_021038553.2	DLEC1_cilia_and_flagella_associated_protein	
Exapal_XM_021038554.1		
Exapal_XM_021038556.2	fibroblast_growth_factor_receptor_2	ig/Ig_3/I-set/fn3/Pkinase_Tyr/
Exapal_XM_021038559.2	CDV3_homolog	CDV3/
Exapal_XM_021038560.2	tripartite_motif_containing_33	zf-C3HC4/zf-B_box/
Exapal_XM_021038561.2	RB_binding_protein_8_endonuclease	
Exapal_XM_021038562.2		
Exapal_XM_021038563.1	follistatin	Kazal_2/
Exapal_XM_021038564.2	calpain_7	MIT/MIT/Peptidase_C2/Calpain_III/
